Season,Team,Basic,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2017,Los Angeles Angels,97,100,96,88,98,102,97,101,100,98,100,98
2017,Baltimore Orioles,101,101,96,87,106,98,100,101,102,100,100,103
2017,Boston Red Sox,104,103,112,103,95,99,99,102,97,103,101,98
2017,Chicago White Sox,99,98,95,93,105,102,103,98,101,98,105,102
2017,Cleveland Indians,102,101,106,83,102,100,100,101,97,101,92,100
2017,Detroit Tigers,102,101,99,123,101,96,100,100,104,101,105,102
2017,Kansas City Royals,102,101,105,114,92,97,99,100,101,101,95,98
2017,Minnesota Twins,102,103,103,104,101,98,99,102,101,102,100,101
2017,New York Yankees,101,99,95,83,112,101,100,98,102,98,102,104
2017,Oakland Athletics,98,99,102,113,94,98,99,100,102,100,105,98
2017,Seattle Mariners,96,98,96,85,99,103,99,97,102,97,107,98
2017,Tampa Bay Rays,97,99,94,100,96,103,100,98,100,100,104,98
2017,Texas Rangers,105,103,100,109,101,98,104,100,100,103,98,102
2017,Toronto Blue Jays,101,97,108,97,103,100,99,99,99,100,98,101
2017,Arizona Diamondbacks,105,100,106,127,104,100,100,101,100,101,93,101
2017,Atlanta Braves,99,101,102,92,99,100,97,100,100,103,101,99
2017,Chicago Cubs,100,100,100,103,101,101,102,100,99,101,97,100
2017,Cincinnati Reds,101,98,100,91,108,104,102,98,100,98,102,102
2017,Colorado Rockies,116,109,109,132,110,95,102,107,99,107,90,107
2017,Miami Marlins,97,99,98,108,90,99,101,101,99,97,95,97
2017,Houston Astros,97,98,96,109,102,103,99,100,98,98,100,99
2017,Los Angeles Dodgers,96,97,99,77,100,100,94,99,100,96,102,98
2017,Milwaukee Brewers,102,99,101,96,108,101,101,99,100,101,97,103
2017,Washington Nationals,101,104,102,81,97,99,100,100,102,101,98,99
2017,New York Mets,95,95,96,86,99,102,101,97,101,98,110,100
2017,Philadelphia Phillies,100,98,97,95,111,104,101,99,101,97,108,103
2017,Pittsburgh Pirates,98,102,99,96,92,97,99,102,98,104,99,98
2017,St. Louis Cardinals,97,100,99,96,95,97,98,100,101,101,103,99
2017,San Diego Padres,95,98,96,96,96,101,100,100,98,99,97,98
2017,San Francisco Giants,96,100,99,122,86,100,101,101,97,98,98,95
