b1,b2,b3,b4,b5,b6,b7,b8,b9,batters_home,key,pitching,runs_scored
100.46,118.97,118.33,122.71,90.8,93.45,97.03,108.06,84.78,0,2017/04/02/nyamlb-tbamlb-1,576.3960000000001,3
100.1,100.96,117.89,105.86,98.57,104.52,80.1,86.97,88.17,1,2017/04/02/nyamlb-tbamlb-1,597.384,7
98.02,117.85,109.26,127.91,95.1,91.97,94.3,101.09,-20.0,0,2017/04/02/sfnmlb-arimlb-1,603.225,5
104.87,79.52,133.51,100.94,96.9,91.28,98.59,60.31,-20.0,1,2017/04/02/sfnmlb-arimlb-1,571.941,6
123.33,130.02,137.51,110.82,94.45,104.04,104.33,-20.0,94.26,0,2017/04/02/chnmlb-slnmlb-1,591.048,3
104.99,109.1,118.46,93.7,95.69,102.39,99.36,97.93,-20.0,1,2017/04/02/chnmlb-slnmlb-1,576.99,4
81.28,92.33,122.47,141.45,109.73,107.34,101.86,73.78,-20.0,0,2017/04/03/miamlb-wasmlb-1,552.042,2
108.08,102.02,143.78,116.76,98.82,99.14,86.17,87.35,-20.0,1,2017/04/03/miamlb-wasmlb-1,629.5590000000001,4
90.65,90.95,130.18,108.13,95.85,84.86,89.76,85.55,-20.0,0,2017/04/03/atlmlb-nynmlb-1,540.657,0
86.11,94.99,112.8,105.39,108.6,96.67,113.08,68.34,-20.0,1,2017/04/03/atlmlb-nynmlb-1,612.135,6
88.41,107.72,125.55,104.06,92.48,95.3,108.09,89.07,85.45,0,2017/04/03/pitmlb-bosmlb-1,607.284,3
104.11,101.72,129.94,118.2,95.98,110.76,102.94,96.06,75.5,1,2017/04/03/pitmlb-bosmlb-1,591.543,5
96.25,93.94,104.04,108.6,91.87,79.51,88.74,66.03,-20.0,0,2017/04/03/colmlb-milmlb-1,617.6790000000001,7
93.14,116.06,115.9,90.37,108.91,81.63,79.11,75.68,-20.0,1,2017/04/03/colmlb-milmlb-1,593.226,5
98.93,137.08,129.75,112.0,107.55,99.31,113.92,93.28,83.99,0,2017/04/03/tormlb-balmlb-1,602.532,2
109.59,102.88,131.04,107.18,111.55,91.39,107.06,95.29,79.58,1,2017/04/03/tormlb-balmlb-1,646.884,3
97.9,113.35,101.07,113.0,95.37,104.12,80.26,72.95,64.85,0,2017/04/03/kcamlb-minmlb-1,630.747,1
104.55,96.75,85.07,106.38,111.25,84.14,91.71,106.95,87.42,1,2017/04/03/kcamlb-minmlb-1,614.214,7
92.73,97.84,96.56,105.93,99.4,104.34,81.99,74.29,-20.0,0,2017/04/03/phimlb-cinmlb-1,633.618,4
74.71,84.32,138.7,88.9,90.65,95.67,79.8,78.75,-20.0,1,2017/04/03/phimlb-cinmlb-1,624.411,3
84.88,113.67,101.66,93.03,93.94,85.17,75.97,-20.0,80.09,0,2017/04/03/sdnmlb-lanmlb-1,521.748,3
95.11,117.33,116.9,103.52,102.77,116.39,112.2,124.4,-20.0,1,2017/04/03/sdnmlb-lanmlb-1,616.59,14
126.54,111.17,112.39,127.21,107.11,83.59,96.33,98.87,90.37,0,2017/04/03/clemlb-texmlb-1,565.803,8
93.32,109.94,102.0,104.76,106.82,109.41,94.0,92.78,93.51,1,2017/04/03/clemlb-texmlb-1,569.862,5
97.57,102.62,121.36,128.47,119.63,102.17,82.9,94.91,88.3,0,2017/04/03/seamlb-houmlb-1,585.7020000000001,0
121.36,108.55,121.72,122.63,105.97,111.49,102.49,94.64,96.77,1,2017/04/03/seamlb-houmlb-1,608.274,3
101.23,112.74,169.6,116.98,107.71,93.08,92.2,77.5,80.49,0,2017/04/03/anamlb-oakmlb-1,645.399,2
84.73,105.11,99.05,110.45,100.55,88.78,96.61,103.23,98.95,1,2017/04/03/anamlb-oakmlb-1,636.885,4
96.19,100.14,143.42,109.97,112.04,78.48,72.91,77.09,88.86,0,2017/04/04/detmlb-chamlb-1,606.0959999999999,6
82.97,85.78,108.75,119.02,100.02,91.71,97.84,78.51,65.97,1,2017/04/04/detmlb-chamlb-1,589.5630000000001,3
98.68502857142856,114.11357142857143,114.87200000000001,118.8284,88.67234285714285,94.99674285714286,98.53582857142857,106.8928,83.17171428571429,0,2017/04/04/nyamlb-tbamlb-1,621.0450000000001,5
96.26314285714285,103.19414285714286,118.72457142857144,95.75,79.16194285714283,104.551,86.44508571428571,82.65,77.32,1,2017/04/04/nyamlb-tbamlb-1,627.678,0
91.73657142857141,90.40011428571428,100.38468571428572,109.55954285714284,90.79834285714287,79.46851428571429,92.59325714285713,66.14257142857143,-20.0,0,2017/04/04/colmlb-milmlb-1,615.303,6
92.04228571428571,79.23891428571426,112.03257142857143,107.54051428571428,91.21251428571428,86.37982857142856,77.19217142857143,74.91245714285716,-20.0,1,2017/04/04/colmlb-milmlb-1,606.591,5
127.51642857142859,107.50357142857143,109.16914285714287,127.71371428571429,108.4836,105.13,97.55925714285713,79.90691428571428,88.16,0,2017/04/04/clemlb-texmlb-1,648.567,4
93.95771428571429,107.89851428571428,102.36468571428571,102.31462857142859,110.8344,89.78,91.6776,94.63931428571428,84.66,1,2017/04/04/clemlb-texmlb-1,568.7729999999999,3
97.47148571428569,100.37988571428569,119.3688,125.93445714285713,118.58474285714287,99.93502857142856,79.49600000000002,92.31191428571428,85.75857142857143,0,2017/04/04/seamlb-houmlb-1,587.088,1
122.63302857142857,107.88554285714285,119.74731428571428,123.74754285714285,103.29408571428571,110.38754285714285,101.71,92.0612,84.4,1,2017/04/04/seamlb-houmlb-1,634.9050000000001,2
124.85297142857142,126.13291428571428,135.31514285714286,92.74725714285714,106.07011428571428,102.22765714285713,92.55942857142857,-20.0,84.12,0,2017/04/04/chnmlb-slnmlb-1,615.006,2
103.49014285714287,108.43042857142856,115.43428571428572,91.9624,96.98985714285715,102.26071428571429,100.08671428571431,94.87151428571428,-20.0,1,2017/04/04/chnmlb-slnmlb-1,590.058,1
101.04451428571429,111.95988571428572,171.41165714285714,113.14125714285713,97.11,89.5144,91.65462857142856,74.11245714285714,77.98165714285716,0,2017/04/04/anamlb-oakmlb-1,620.0550000000001,7
80.36271428571429,102.8188,95.4388,116.20188571428572,102.4786857142857,88.75931428571428,96.03674285714285,101.88645714285715,98.11845714285714,1,2017/04/04/anamlb-oakmlb-1,610.5509999999999,6
79.24631428571429,83.9966857142857,110.01308571428572,99.91828571428572,95.84217142857143,89.60897142857141,82.72714285714284,74.46811428571428,-20.0,0,2017/04/04/sdnmlb-lanmlb-1,593.424,4
102.71657142857143,118.1797142857143,118.64485714285715,97.84734285714285,124.25985714285716,104.84651428571428,115.12314285714287,87.11,-20.0,1,2017/04/04/sdnmlb-lanmlb-1,637.083,0
96.04125714285713,113.3986857142857,100.10131428571428,110.1452,94.28708571428572,77.68582857142857,97.85,70.43848571428572,62.40791428571429,0,2017/04/05/kcamlb-minmlb-1,663.813,1
102.102,105.01045714285715,80.58485714285712,103.98388571428569,112.73457142857143,85.4712,84.21,86.16674285714286,94.87657142857144,1,2017/04/05/kcamlb-minmlb-1,621.144,9
77.8632,92.78702857142856,118.58245714285714,139.79,105.98805714285713,105.4032,99.17654285714286,71.33722857142857,-20.0,0,2017/04/05/miamlb-wasmlb-1,626.49,4
106.95325714285713,103.4070857142857,144.912,116.42297142857143,98.688,109.38,95.67085714285713,86.46037142857142,-20.0,1,2017/04/05/miamlb-wasmlb-1,645.003,6
97.00245714285715,137.50857142857146,125.21022857142857,108.54757142857143,102.772,97.42814285714287,114.37642857142859,92.7576,91.94742857142856,0,2017/04/05/tormlb-balmlb-1,630.945,1
86.11662857142859,102.10485714285713,129.168,113.198,104.25957142857143,101.40048571428572,91.96634285714286,91.654,76.12354285714284,1,2017/04/05/tormlb-balmlb-1,624.906,3
87.2996,89.374,132.60034285714286,107.0244,92.44017142857142,83.35359999999999,87.31037142857143,79.41,-20.0,0,2017/04/05/atlmlb-nynmlb-1,581.841,3
83.12914285714288,95.66014285714287,109.43785714285715,103.54051428571428,106.26937142857142,97.14257142857143,112.92045714285715,99.34937142857142,-20.0,1,2017/04/05/atlmlb-nynmlb-1,641.439,1
99.30414211440001,110.67915213614286,115.3803796665714,119.78926505245714,90.45748554285713,92.5763597913143,101.6317959032,106.16338327931429,84.51086516737143,0,2017/04/05/nyamlb-tbamlb-1,619.461,1
97.11886008299999,102.58975947785713,120.47655286714287,102.04515559257143,97.1748244445714,107.86492793737145,79.21740932365714,85.25880000000002,84.00114237062857,1,2017/04/05/nyamlb-tbamlb-1,566.397,4
92.01771428571428,99.05485714285713,97.12642857142859,104.36242857142858,100.65965714285713,82.95,78.5650857142857,76.95331428571428,-20.0,0,2017/04/05/phimlb-cinmlb-1,633.222,0
73.66985714285714,84.26697142857142,134.69199999999998,89.46137142857144,88.5245142857143,95.0428,78.24297142857142,78.31617142857142,-20.0,1,2017/04/05/phimlb-cinmlb-1,616.6890000000001,2
83.66577142857143,102.79828571428571,121.45514285714287,102.06308571428572,92.23622857142857,95.25554285714287,87.2444,106.74165714285714,88.39500000000002,0,2017/04/05/pitmlb-bosmlb-1,570.7529999999999,0
102.29685714285714,101.93428571428569,110.42651428571428,116.22582857142856,92.48194285714285,98.59,103.5848,94.33885714285714,76.44105714285716,1,2017/04/05/pitmlb-bosmlb-1,583.029,3
130.59882671428574,106.169294,105.71414285714285,126.19202299999998,107.04968731428572,94.83270537142856,87.89782857142856,85.56,90.71615142857144,0,2017/04/05/clemlb-texmlb-1,610.254,9
84.18,106.98901908571429,103.85895577142857,103.54872022857144,109.95443200000001,91.524341,105.52222857142857,94.65521508571429,94.29993097142857,1,2017/04/05/clemlb-texmlb-1,589.9590000000001,6
92.805723,88.92126011428572,100.76185759999998,109.86689382857142,93.12455645714287,82.19260720000003,94.73699062857142,64.00609817142858,-20.0,0,2017/04/05/colmlb-milmlb-1,628.371,1
89.407332,114.36444271428572,114.47390700000001,93.13867211428571,75.74015908571428,78.42736102857144,81.3450285714286,73.17523211428572,-20.0,1,2017/04/05/colmlb-milmlb-1,623.0250000000001,6
94.22040365714285,99.60582594285715,120.36187074285715,123.14215097142859,118.20739737142858,100.91599874285716,91.614413,85.83105857142857,77.22535302857143,0,2017/04/05/seamlb-houmlb-1,607.383,3
122.95074708571428,105.34154788571428,119.54784194285713,123.16441837142857,101.46830911428572,99.84391428571428,100.45985714285715,110.13364994285713,73.13,1,2017/04/05/seamlb-houmlb-1,593.9190000000001,5
86.64011137279999,115.34365085971427,109.022615892,123.12507303371427,97.46877289985711,93.9107313776,91.43714999571428,103.9129754272,-20.0,0,2017/04/05/sfnmlb-arimlb-1,605.007,6
107.38691040257143,78.39881794785714,135.2298792608,100.07663522502855,91.01765671302856,92.18949005520001,90.82745714285713,69.77074285714285,-20.0,1,2017/04/05/sfnmlb-arimlb-1,608.472,8
99.5369528,112.31027211428572,171.10987325714285,110.43630205714287,106.98737142857142,90.55554857142856,91.08193074285715,75.79456742857144,78.79292762857143,0,2017/04/05/anamlb-oakmlb-1,613.224,5
100.27059234285713,94.49965302857143,99.90739965714288,114.97390834285713,99.97840022857143,93.58408514285715,101.21112422857144,99.34386011428572,82.27465685714286,1,2017/04/05/anamlb-oakmlb-1,600.057,0
85.08766754285716,110.77796102857144,102.81850617142858,89.05370342857141,95.27121977142859,80.34746768571429,79.61301382857144,-20.0,77.5181648,0,2017/04/05/sdnmlb-lanmlb-1,582.2370000000001,1
94.05485714285713,115.678518,117.92543,104.73330628571428,105.04958999999998,116.45834285714285,113.51369271428571,122.54904328571428,-20.0,1,2017/04/05/sdnmlb-lanmlb-1,623.4209999999999,3
89.69137831,85.13,96.53148884128572,103.66477559728571,98.60413193371427,75.3,86.10102857142857,75.44967380628572,-20.0,0,2017/04/06/phimlb-cinmlb-1,655.4970000000001,4
72.94847273457141,81.96509893565714,136.47634295645713,90.10781874811428,86.93904381988571,93.41118316491428,80.0828765046857,60.68,-20.0,1,2017/04/06/phimlb-cinmlb-1,621.144,7
94.85321973222858,112.49325717120001,100.49594576982857,109.1085367308,92.98524480565716,101.34131428571428,77.02277575428572,68.77937271260001,60.818091067742856,0,2017/04/06/kcamlb-minmlb-1,646.2900000000001,3
101.99741100814285,104.7294888408,79.3734137202857,104.34340903782856,114.41985712937141,88.62442761588572,92.9546857142857,85.58298079485716,76.51,1,2017/04/06/kcamlb-minmlb-1,637.3799999999999,5
92.318362831,89.18304596342855,98.23963295634287,109.0656768577143,93.18131634674286,83.55201774880003,96.38043998182856,65.39325714285714,-20.0,0,2017/04/06/colmlb-milmlb-1,610.749,2
92.01838019671429,116.57571805814287,87.66273571619999,94.17396492639999,108.14581085714286,75.9744835832,77.93470571428571,78.7602,-20.0,1,2017/04/06/colmlb-milmlb-1,630.945,1
123.0291532376,122.4464204024,133.76471858262855,109.52863987954285,92.79908031657145,101.50333793040001,87.67,-20.0,85.48731428571428,0,2017/04/06/chnmlb-slnmlb-1,616.8870000000001,6
102.84652595071428,105.96017653942856,112.86179545785713,96.44670156371427,102.26228571428571,97.73864132214285,97.68108571428571,94.05758556391427,-20.0,1,2017/04/06/chnmlb-slnmlb-1,600.651,4
100.63271428571429,100.82157142857143,140.93628571428567,108.0412,110.86502857142857,80.47842857142857,70.94165714285714,77.62085714285716,85.32011428571428,0,2017/04/06/detmlb-chamlb-1,647.6759999999999,2
83.40557142857143,82.25268571428572,109.82257142857142,119.28057142857142,96.32994285714285,97.648,73.86,80.38,62.66908571428571,1,2017/04/06/detmlb-chamlb-1,644.2109999999999,11
77.35876179722858,84.17750296559998,112.2084910552,100.3820787736,92.92307474639999,90.4991610984,88.57710968571428,79.39209904685714,-20.0,0,2017/04/06/sdnmlb-lanmlb-1,589.9590000000001,2
93.93021869028573,115.53384999414286,102.62270160042856,105.76458255988571,115.1663100161143,82.14402101768573,125.99280181057142,92.08385714285713,-20.0,1,2017/04/06/sdnmlb-lanmlb-1,677.5740000000001,10
97.66211509394286,114.15903220845712,170.98637665554284,108.75748021051427,107.85910796034284,82.06954285714284,92.8254312944,70.62,80.33,0,2017/04/06/anamlb-oakmlb-1,631.44,1
80.78478448085716,99.25609439714287,92.12979083200001,115.3678217552,97.4254542008,92.98585513360001,97.2508,88.17,81.11,1,2017/04/06/anamlb-oakmlb-1,595.6020000000001,5
77.8748565424,68.95294285714286,118.2288570848,136.77330760217143,106.11037309885714,96.18885428799999,104.67128981097143,70.73780852365714,-20.0,0,2017/04/06/miamlb-wasmlb-1,603.126,4
104.46875590685714,104.54250480537142,146.01524934731432,117.17101734857144,101.41854301485714,105.79382857142856,96.62662891348572,90.96609937965714,-20.0,1,2017/04/06/miamlb-wasmlb-1,648.3689999999999,3
85.08102794205715,87.36915125222856,128.35917138537144,111.39081913394286,92.13268902617142,83.5271280928,87.94718851968572,84.35716247545713,-20.0,0,2017/04/06/atlmlb-nynmlb-1,595.503,2
80.17650788742856,93.90679802928571,109.21587163471428,98.47737142857143,100.17463768,102.85873390319999,101.67469251200001,98.25085505811428,-20.0,1,2017/04/06/atlmlb-nynmlb-1,589.464,6
111.79758824814286,136.65850614680002,124.4540738472,107.85098426385711,100.27631538314286,96.41033810157144,94.8369272508,92.04862608657145,73.04408571428571,0,2017/04/06/tormlb-tbamlb-1,604.116,5
100.00101562276386,101.89389130735456,119.12319642452499,99.44663682018455,97.62018144923132,108.55953350631634,77.55667480159028,85.2585360334368,67.79,1,2017/04/06/tormlb-tbamlb-1,589.5630000000001,2
96.09270960571428,98.38124706868572,117.60921664171428,122.58744483211427,118.0317706286857,97.1035449512,93.35,83.83143896799999,77.47806495874286,0,2017/04/06/seamlb-houmlb-1,607.284,4
124.26724454731428,87.35344040000003,115.3876749928,122.41244894557144,101.00675255825716,97.4495037472857,94.26870002857142,71.61085714285714,98.67694924014286,1,2017/04/06/seamlb-houmlb-1,647.478,2
84.68886905701966,85.1934059182183,125.733720185272,116.56834398261452,91.67936556462169,82.06967006378856,87.95860841046336,78.43828571428571,-20.0,0,2017/04/07/atlmlb-pitmlb-1,609.4620000000001,4
101.15114356942856,104.86928318605713,117.5581637592,98.46902882719999,92.04581466399999,93.6349377736,86.55251874,80.33714652559999,-20.0,1,2017/04/07/atlmlb-pitmlb-1,614.7090000000001,5
85.15,102.0875698432,100.4218115368,89.28095702,96.79128571428572,104.9429046624,81.16637772648572,92.4665382872,82.07,0,2017/04/07/bosmlb-detmlb-1,610.254,5
100.48291554357144,100.96939217557144,139.00609295214284,107.64485901268571,111.69765680008571,81.66846405371429,71.72786843691428,76.7335566216,82.9171458256,1,2017/04/07/bosmlb-detmlb-1,647.082,6
102.99583187413772,105.15025980634995,144.0263252561527,117.1257781665159,104.51664252030216,99.57793003836812,103.81276114285713,90.44519739172628,-20.0,0,2017/04/07/wasmlb-phimlb-1,588.573,7
89.05414743955872,97.99950837442856,99.40321317004772,101.09809533271827,95.92998628245873,97.0710687519408,78.56311895382855,74.4842777835864,-20.0,1,2017/04/07/wasmlb-phimlb-1,546.498,6
100.76883271361383,97.37052388571428,119.338771739,132.67192566015402,96.08377986039216,110.93519972957144,88.05714928285713,114.40715588232516,-20.0,0,2017/04/07/lanmlb-colmlb-1,666.2880000000001,1
89.90805131538583,86.75465611963611,98.14177157984707,111.57627263727007,90.77105364248754,97.77745162058456,89.0465365642,69.0471212,-20.0,1,2017/04/07/lanmlb-colmlb-1,609.0659999999999,2
102.06433502930174,88.2724694,117.0914046327598,97.15634103228285,78.08,93.60154707231924,89.49569279297422,80.97231327201936,-20.0,0,2017/04/07/sfnmlb-sdnmlb-1,626.391,6
81.93493556553737,76.92792727360477,113.41575311686366,101.50389150083907,90.57727686164192,93.72107680622696,80.10135790645715,78.512815243894,-20.0,1,2017/04/07/sfnmlb-sdnmlb-1,652.824,7
99.8650071073833,109.924930298235,112.77554032798659,118.89292097910266,95.48027028495213,90.16021750692663,104.7261325038312,103.5810611165807,82.83045298500515,0,2017/04/07/nyamlb-balmlb-1,627.0840000000001,5
108.33754285714286,103.59098096685715,128.94661869,106.56020389785715,111.51598540728571,91.9389721997714,104.28997142857143,91.60141823268572,74.58451279931428,1,2017/04/07/nyamlb-balmlb-1,605.601,6
76.64003710509873,90.58,119.29545676227954,136.19073319807737,104.98675493197555,104.45606544980276,99.66665626136074,70.85311488890395,-20.0,0,2017/04/07/miamlb-nynmlb-1,579.069,7
79.72792344028258,93.35194167158585,110.23766296591644,99.50675752775749,99.46010200662695,104.33007282611557,100.60496546438766,67.54825714285714,-20.0,1,2017/04/07/miamlb-nynmlb-1,622.7280000000001,2
96.59337733920002,135.23769722839086,124.5110388558488,109.21464506821572,97.75786406005741,94.05734692655778,85.24454517099983,80.29,91.48680587017687,0,2017/04/07/tormlb-tbamlb-1,619.2629999999999,8
101.56087632591893,100.73602195146393,119.39239820868671,91.83954932377144,83.94272452611084,99.86107278661196,75.89275482167254,79.13582857142858,76.86685714285713,1,2017/04/07/tormlb-tbamlb-1,603.225,10
78.494479853837,100.925026324,99.63064153447348,116.45606909929623,100.02766554,91.15221014660604,92.38868011625692,101.44969060534879,99.76218218172592,0,2017/04/07/oakmlb-texmlb-1,648.963,5
91.77763363471428,107.00670667840001,108.59340220000001,100.845060408,109.075457324,104.6243880048,93.46225239200001,97.24059370937141,89.52918720000002,1,2017/04/07/oakmlb-texmlb-1,649.4579999999999,10
124.63277875928014,120.19106727062255,134.0164825230494,107.79886883841273,89.66147493024582,102.89736805009429,106.44651100217143,-20.0,89.79352847515963,0,2017/04/07/chnmlb-milmlb-1,633.222,1
89.27015166913999,105.19551046889737,113.79127181909745,94.09697630306684,90.12849837543337,74.58929445199139,80.48625901977144,74.23844402274284,-20.0,1,2017/04/07/chnmlb-milmlb-1,610.452,2
91.47810766677841,114.68364351787486,101.00916062950444,108.16414646860615,95.94540535690004,99.9455686563342,77.60961951538084,68.94052781691857,60.37708419945776,0,2017/04/07/kcamlb-houmlb-1,628.371,5
126.96950770076023,105.16010714491428,114.57503780268353,119.70721043414876,100.34904012265531,101.77914837142856,107.92892993693741,95.0262168285244,99.1811053718758,1,2017/04/07/kcamlb-houmlb-1,656.1900000000002,1
100.50154394749417,93.86523582414286,77.69555261817571,116.33635709144517,96.02033127304159,106.85651357694105,86.23514285714285,72.96862857142857,85.92439530289921,0,2017/04/07/minmlb-chamlb-1,654.705,3
83.16865838514285,80.9163534936,110.8653692873143,119.0826871136,94.3272907248,89.50417142857141,97.7536767616,85.9446857142857,77.55117142857144,1,2017/04/07/minmlb-chamlb-1,670.05,1
73.44292058388172,80.72194479002273,135.28774141655677,93.0407218075208,92.2699818584952,81.1203984419192,83.22937859457309,79.05145525817143,-20.0,0,2017/04/07/cinmlb-slnmlb-1,625.401,2
101.32812949432613,106.60738913796709,113.0932842277008,101.82681810776884,91.31290257668572,95.3701467050073,97.08274086633452,95.11352480157869,-20.0,1,2017/04/07/cinmlb-slnmlb-1,643.1220000000001,0
129.97370686000002,113.36660198528573,108.8167234022857,123.66274953185714,106.0800591992,95.5822042744,95.02699593017141,78.3376672625143,-20.0,0,2017/04/07/clemlb-arimlb-1,620.4509999999999,3
