b1,b2,b3,b4,b5,b6,b7,b8,b9,batters_home,key,pitching,runs_scored
102.11,142.62,146.38,112.42,118.42,98.76,101.03,96.26,-20.0,0,2018/03/29/chnmlb-miamlb-1,658.368,8
97.16,103.77,93.45,118.46,89.32,98.1,80.53,66.3,-20.0,1,2018/03/29/chnmlb-miamlb-1,594.414,4
111.56,112.74,122.23,130.73,106.46,93.72,99.51,100.32,-20.0,0,2018/03/29/slnmlb-nynmlb-1,535.707,4
93.92,122.41,105.51,103.09,102.35,101.34,85.54,-20.0,79.84,1,2018/03/29/slnmlb-nynmlb-1,585.999,9
110.65,107.49,117.92,101.93,109.12,88.78,106.02,91.63,86.79,0,2018/03/29/minmlb-balmlb-1,634.3109999999999,2
103.58,131.46,108.08,102.49,103.18,88.33,104.7,63.54,72.4,1,2018/03/29/minmlb-balmlb-1,644.1120000000001,3
136.06,119.91,129.21,138.95,101.59,113.55,109.34,78.3,99.06,0,2018/03/29/houmlb-texmlb-1,633.4200000000001,4
82.88,116.32,94.17,113.84,107.42,107.52,92.91,97.62,71.56,1,2018/03/29/houmlb-texmlb-1,579.267,1
102.67,131.35,161.42,120.61,104.38,95.53,95.75,112.27,88.26,0,2018/03/29/nyamlb-tormlb-1,617.1840000000001,6
99.55,143.24,112.23,106.79,104.98,98.8,100.61,90.81,96.94,1,2018/03/29/nyamlb-tormlb-1,562.041,1
129.31,111.54,109.93,132.03,106.96,108.22,99.59,100.98,80.45,0,2018/03/29/bosmlb-tbamlb-1,565.605,4
95.41,99.04,93.4,104.62,97.27,97.88,76.23,87.83,92.72,1,2018/03/29/bosmlb-tbamlb-1,533.628,6
100.81,179.24,115.72,97.32,108.44,94.02,102.56,119.35,75.0,0,2018/03/29/anamlb-oakmlb-1,648.4679999999998,5
110.69,98.33,99.08,113.26,115.63,102.72,93.45,102.99,94.05,1,2018/03/29/anamlb-oakmlb-1,598.968,6
106.6,127.14,118.05,96.97,116.38,82.06,88.62,85.64,-20.0,0,2018/03/29/milmlb-sdnmlb-1,609.6600000000001,2
90.47,115.62,121.27,95.83,82.51,90.18,77.39,78.7,-20.0,1,2018/03/29/milmlb-sdnmlb-1,618.669,1
100.46,124.97,93.22,126.45,100.33,89.7,101.9,83.24,-20.0,0,2018/03/29/phimlb-atlmlb-1,635.3009999999999,5
91.2,94.69,139.15,91.91,101.17,82.81,87.58,74.77,-20.0,1,2018/03/29/phimlb-atlmlb-1,570.159,8
94.07,110.75,128.96,74.83,101.47,92.85,80.8,81.35,59.9,0,2018/03/29/chamlb-kcamlb-1,626.787,14
85.65,87.41,115.0,118.39,90.91,101.11,88.49,62.28,67.1,1,2018/03/29/chamlb-kcamlb-1,655.992,7
91.5,102.71,128.28,123.82,110.45,103.71,124.82,95.06,-20.0,0,2018/03/29/sfnmlb-lanmlb-1,533.4300000000001,1
