b1,b2,b3,b4,b5,b6,b7,b8,b9,batters_home,key,pitching,runs_scored
106.43642857142858,116.06914285714286,129.81142857142856,139.42885714285714,109.79557142857144,103.31814285714287,88.0172,77.69322857142856,57.64,0,2016/04/05/chnmlb-anamlb-1,633.717,6
93.32462857142859,72.75362857142856,171.8172,116.12428571428572,104.77217142857144,110.65934285714287,87.41251428571431,80.39694285714286,93.76757142857143,1,2016/04/05/chnmlb-anamlb-1,573.921,1
108.45262857142859,81.69885714285714,126.40822857142857,101.81159999999998,103.72942857142857,96.132,97.18977142857143,92.82,92.88302857142857,0,2016/04/05/chamlb-oakmlb-1,642.33,5
90.7414857142857,96.42925714285715,114.45748571428572,94.27085714285714,105.89165714285713,107.63637142857144,88.8,106.81371428571428,102.37197142857143,1,2016/04/05/chamlb-oakmlb-1,608.6700000000001,4
89.98771428571429,99.63320000000002,113.3532857142857,118.74257142857144,140.4447142857143,93.38154285714286,109.371,98.83,-20.0,0,2016/04/05/lanmlb-sdnmlb-1,604.611,3
91.57594285714285,85.65394285714288,116.89385714285713,115.45982857142856,97.39611428571428,97.42554285714287,75.39051428571426,79.01137142857144,-20.0,1,2016/04/05/lanmlb-sdnmlb-1,601.74,0
95.766,127.0804,138.537,129.90382857142856,107.29942857142856,102.3344,98.65948571428572,81.85,68.68,0,2016/04/06/tormlb-tbamlb-1,623.124,3
106.31022857142857,106.1344,112.41225714285713,110.51237142857143,101.60517142857141,107.69894285714285,77.39,99.9466,88.10137142857144,1,2016/04/06/tormlb-tbamlb-1,624.609,5
82.73857142857142,100.71962857142859,138.78528571428572,110.75708571428572,123.58888571428572,100.84948571428572,94.80617142857142,-20.0,94.9362857142857,0,2016/04/06/sfnmlb-milmlb-1,640.548,3
102.53754285714287,89.61182857142856,116.08222857142857,104.82051428571428,102.9176,100.03357142857143,82.5946,-20.0,83.3566,1,2016/04/06/sfnmlb-milmlb-1,609.9570000000001,4
80.95365714285717,116.92914285714286,118.8138,124.35957142857143,110.65034285714285,110.916,65.01222857142858,90.98,82.5128,0,2016/04/06/seamlb-texmlb-1,675.3960000000001,9
111.06857142857142,84.9408,118.93299999999999,112.05411428571428,99.92091428571429,82.71,99.16,65.88,69.01,1,2016/04/06/seamlb-texmlb-1,636.192,5
81.15137142857142,80.71400000000001,105.93065714285716,100.56522857142856,92.80614285714287,93.71182857142858,86.0756,66.22071428571428,-20.0,0,2016/04/06/colmlb-arimlb-1,599.265,4
