key,away,away_id,away_score,date,gamePk,home,home_id,home_score
2015/04/05/slnmlb-chnmlb-1,St. Louis Cardinals,138,3,2015-04-05,413661,Chicago Cubs,112,0
2015/04/06/tormlb-nyamlb-1,Toronto Blue Jays,141,6,2015-04-06,413663,New York Yankees,147,1
2015/04/06/minmlb-detmlb-1,Minnesota Twins,142,0,2015-04-06,413656,Detroit Tigers,116,4
2015/04/06/colmlb-milmlb-1,Colorado Rockies,115,10,2015-04-06,413655,Milwaukee Brewers,158,0
2015/04/06/bosmlb-phimlb-1,Boston Red Sox,111,8,2015-04-06,413652,Philadelphia Phillies,143,0
2015/04/06/balmlb-tbamlb-1,Baltimore Orioles,110,6,2015-04-06,413651,Tampa Bay Rays,139,2
2015/04/06/nynmlb-wasmlb-1,New York Mets,121,3,2015-04-06,413657,Washington Nationals,120,1
2015/04/06/anamlb-seamlb-1,Los Angeles Angels,108,1,2015-04-06,413649,Seattle Mariners,136,4
2015/04/06/atlmlb-miamlb-1,Atlanta Braves,144,2,2015-04-06,413650,Miami Marlins,146,1
2015/04/06/chamlb-kcamlb-1,Chicago White Sox,145,1,2015-04-06,413653,Kansas City Royals,118,10
2015/04/06/pitmlb-cinmlb-1,Pittsburgh Pirates,134,2,2015-04-06,413658,Cincinnati Reds,113,5
2015/04/06/sdnmlb-lanmlb-1,San Diego Padres,135,3,2015-04-06,413659,Los Angeles Dodgers,119,6
2015/04/06/clemlb-houmlb-1,Cleveland Indians,114,0,2015-04-06,413654,Houston Astros,117,2
2015/04/06/texmlb-oakmlb-1,Texas Rangers,140,0,2015-04-06,413662,Oakland Athletics,133,8
2015/04/06/sfnmlb-arimlb-1,San Francisco Giants,137,5,2015-04-06,413660,Arizona Diamondbacks,109,4
2015/04/07/atlmlb-miamlb-1,Atlanta Braves,144,12,2015-04-07,413665,Miami Marlins,146,2
2015/04/07/balmlb-tbamlb-1,Baltimore Orioles,110,6,2015-04-07,413666,Tampa Bay Rays,139,5
2015/04/07/colmlb-milmlb-1,Colorado Rockies,115,5,2015-04-07,413667,Milwaukee Brewers,158,2
2015/04/07/sfnmlb-arimlb-1,San Francisco Giants,137,6,2015-04-07,413669,Arizona Diamondbacks,109,7
2015/04/07/texmlb-oakmlb-1,Texas Rangers,140,3,2015-04-07,413670,Oakland Athletics,133,1
2015/04/07/anamlb-seamlb-1,Los Angeles Angels,108,2,2015-04-07,413664,Seattle Mariners,136,0
2015/04/07/sdnmlb-lanmlb-1,San Diego Padres,135,7,2015-04-07,413668,Los Angeles Dodgers,119,3
2015/04/08/minmlb-detmlb-1,Minnesota Twins,142,0,2015-04-08,413678,Detroit Tigers,116,11
2015/04/08/slnmlb-chnmlb-1,St. Louis Cardinals,138,0,2015-04-08,413693,Chicago Cubs,112,2
2015/04/08/bosmlb-phimlb-1,Boston Red Sox,111,2,2015-04-08,413674,Philadelphia Phillies,143,4
2015/04/08/nynmlb-wasmlb-1,New York Mets,121,1,2015-04-08,413679,Washington Nationals,120,2
2015/04/08/tormlb-nyamlb-1,Toronto Blue Jays,141,3,2015-04-08,413685,New York Yankees,147,4
2015/04/08/atlmlb-miamlb-1,Atlanta Braves,144,2,2015-04-08,413672,Miami Marlins,146,0
2015/04/08/balmlb-tbamlb-1,Baltimore Orioles,110,0,2015-04-08,413673,Tampa Bay Rays,139,2
2015/04/08/pitmlb-cinmlb-1,Pittsburgh Pirates,134,4,2015-04-08,413680,Cincinnati Reds,113,5
2015/04/08/chamlb-kcamlb-1,Chicago White Sox,145,5,2015-04-08,413675,Kansas City Royals,118,7
2015/04/08/clemlb-houmlb-1,Cleveland Indians,114,2,2015-04-08,413676,Houston Astros,117,0
2015/04/08/colmlb-milmlb-1,Colorado Rockies,115,5,2015-04-08,413677,Milwaukee Brewers,158,4
2015/04/08/sfnmlb-arimlb-1,San Francisco Giants,137,5,2015-04-08,413682,Arizona Diamondbacks,109,2
2015/04/08/texmlb-oakmlb-1,Texas Rangers,140,0,2015-04-08,413684,Oakland Athletics,133,10
2015/04/08/anamlb-seamlb-1,Los Angeles Angels,108,5,2015-04-08,413671,Seattle Mariners,136,3
2015/04/08/sdnmlb-lanmlb-1,San Diego Padres,135,4,2015-04-08,413681,Los Angeles Dodgers,119,7
