key,away,away_id,away_score,date,gamePk,home,home_id,home_score
2017/04/02/nyamlb-tbamlb-1,New York Yankees,147,3,2017-04-02,490106,Tampa Bay Rays,139,7
2017/04/02/sfnmlb-arimlb-1,San Francisco Giants,137,5,2017-04-02,490110,Arizona Diamondbacks,109,6
2017/04/02/chnmlb-slnmlb-1,Chicago Cubs,112,3,2017-04-02,490099,St. Louis Cardinals,138,4
2017/04/03/miamlb-wasmlb-1,Miami Marlins,146,2,2017-04-03,490105,Washington Nationals,120,4
2017/04/03/atlmlb-nynmlb-1,Atlanta Braves,144,0,2017-04-03,490098,New York Mets,121,6
2017/04/03/pitmlb-bosmlb-1,Pittsburgh Pirates,134,3,2017-04-03,490108,Boston Red Sox,111,5
2017/04/03/colmlb-milmlb-1,Colorado Rockies,115,7,2017-04-03,490101,Milwaukee Brewers,158,5
2017/04/03/tormlb-balmlb-1,Toronto Blue Jays,141,2,2017-04-03,490112,Baltimore Orioles,110,3
2017/04/03/kcamlb-minmlb-1,Kansas City Royals,118,1,2017-04-03,490103,Minnesota Twins,142,7
2017/04/03/phimlb-cinmlb-1,Philadelphia Phillies,143,4,2017-04-03,490107,Cincinnati Reds,113,3
2017/04/03/sdnmlb-lanmlb-1,San Diego Padres,135,3,2017-04-03,490109,Los Angeles Dodgers,119,14
2017/04/03/clemlb-texmlb-1,Cleveland Indians,114,8,2017-04-03,490100,Texas Rangers,140,5
2017/04/03/seamlb-houmlb-1,Seattle Mariners,136,0,2017-04-03,490111,Houston Astros,117,3
2017/04/03/anamlb-oakmlb-1,Los Angeles Angels,108,2,2017-04-03,490104,Oakland Athletics,133,4
2017/04/04/detmlb-chamlb-1,Detroit Tigers,116,6,2017-04-04,490102,Chicago White Sox,145,3
2017/04/04/nyamlb-tbamlb-1,New York Yankees,147,5,2017-04-04,490116,Tampa Bay Rays,139,0
2017/04/04/colmlb-milmlb-1,Colorado Rockies,115,6,2017-04-04,490114,Milwaukee Brewers,158,5
2017/04/04/clemlb-texmlb-1,Cleveland Indians,114,4,2017-04-04,490113,Texas Rangers,140,3
2017/04/04/seamlb-houmlb-1,Seattle Mariners,136,1,2017-04-04,490119,Houston Astros,117,2
2017/04/04/chnmlb-slnmlb-1,Chicago Cubs,112,2,2017-04-04,490136,St. Louis Cardinals,138,1
2017/04/04/sfnmlb-arimlb-1,San Francisco Giants,137,8,2017-04-04,490118,Arizona Diamondbacks,109,4
2017/04/04/anamlb-oakmlb-1,Los Angeles Angels,108,7,2017-04-04,490115,Oakland Athletics,133,6
2017/04/04/sdnmlb-lanmlb-1,San Diego Padres,135,4,2017-04-04,490117,Los Angeles Dodgers,119,0
