key,away,away_id,away_score,date,gamePk,home,home_id,home_score
2016/04/03/slnmlb-pitmlb-1,St. Louis Cardinals,138,1,2016-04-03,446877,Pittsburgh Pirates,134,4
2016/04/03/tormlb-tbamlb-1,Toronto Blue Jays,141,5,2016-04-03,446911,Tampa Bay Rays,139,3
2016/04/03/nynmlb-kcamlb-1,New York Mets,121,3,2016-04-03,446873,Kansas City Royals,118,4
2016/04/04/sfnmlb-milmlb-1,San Francisco Giants,137,12,2016-04-04,446875,Milwaukee Brewers,158,3
2016/04/04/minmlb-balmlb-1,Minnesota Twins,142,2,2016-04-04,446872,Baltimore Orioles,110,3
2016/04/04/seamlb-texmlb-1,Seattle Mariners,136,2,2016-04-04,446876,Texas Rangers,140,3
2016/04/04/phimlb-cinmlb-1,Philadelphia Phillies,143,2,2016-04-04,446874,Cincinnati Reds,113,6
2016/04/04/wasmlb-atlmlb-1,Washington Nationals,120,4,2016-04-04,446879,Atlanta Braves,144,3
2016/04/04/lanmlb-sdnmlb-1,Los Angeles Dodgers,119,15,2016-04-04,446871,San Diego Padres,135,0
2016/04/04/tormlb-tbamlb-1,Toronto Blue Jays,141,5,2016-04-04,446878,Tampa Bay Rays,139,3
2016/04/04/colmlb-arimlb-1,Colorado Rockies,115,10,2016-04-04,446869,Arizona Diamondbacks,109,5
2016/04/04/chnmlb-anamlb-1,Chicago Cubs,112,9,2016-04-04,446889,Los Angeles Angels,108,0
2016/04/04/chamlb-oakmlb-1,Chicago White Sox,145,4,2016-04-04,446868,Oakland Athletics,133,3
2016/04/05/houmlb-nyamlb-1,Houston Astros,117,5,2016-04-05,446870,New York Yankees,147,3
2016/04/05/bosmlb-clemlb-1,Boston Red Sox,111,6,2016-04-05,446867,Cleveland Indians,114,2
2016/04/05/nynmlb-kcamlb-1,New York Mets,121,2,2016-04-05,446896,Kansas City Royals,118,0
2016/04/05/slnmlb-pitmlb-1,St. Louis Cardinals,138,5,2016-04-05,446910,Pittsburgh Pirates,134,6
