Barrel,FlStr,Fstrike,LkStr,Ocontact,Oswing,SwStr,Zcontact,Zswing,bb_pa,contact,k_pa,mlb_id,p_pa,pa,swing,wOBACON,xwOBACON,zone
0.0,0.16666666666666666,1.0,0.4,0.0,0.5,0.2,1.0,0.3333333333333333,0.0,0.5,0.6666666666666666,466948.0,3.3333333333333335,3,0.4,0.0,0.13066666666666668,0.6
0.07482993197278912,0.3321492007104796,0.6348408710217756,0.19982078853046595,0.6327160493827161,0.29294755877034356,0.0846774193548387,0.8970588235294118,0.6039076376554174,0.08040201005025126,0.8117529880478087,0.16917922948073702,456714.0,3.7386934673366836,597,0.449820788530466,0.3162479061976551,0.28232160804020096,0.5044802867383512
0.05470459518599562,0.4211485870556062,0.6166666666666667,0.1549234135667396,0.6530612244897959,0.32996632996632996,0.09452954048140044,0.892328398384926,0.6773017319963537,0.055,0.8096916299559471,0.16333333333333333,456715.0,3.808333333333333,600,0.49671772428884026,0.372666666666667,0.2982450000000002,0.4800875273522976
0.05813953488372093,0.3579418344519016,0.6652719665271967,0.18113612004287247,0.7109375,0.26337448559670784,0.07931404072883172,0.8669064748201439,0.6219239373601789,0.09623430962343096,0.8177339901477833,0.18410041841004185,477195.0,3.903765690376569,239,0.43515541264737406,0.3018828451882847,0.2580083682008369,0.4790996784565916
0.017857142857142856,0.3813559322033898,0.625,0.14166666666666666,0.6190476190476191,0.3442622950819672,0.10416666666666667,0.8928571428571429,0.711864406779661,0.027777777777777776,0.8015873015873016,0.18055555555555555,217100.0,3.3333333333333335,72,0.525,0.20902777777777778,0.1907361111111111,0.49166666666666664
0.00980392156862745,0.3462897526501767,0.6283783783783784,0.17293233082706766,0.5113636363636364,0.3534136546184739,0.14285714285714285,0.8272251308900523,0.6749116607773852,0.0472972972972973,0.7275985663082437,0.25675675675675674,595978.0,3.5945945945945947,148,0.5244360902255639,0.21081081081081068,0.1931351351351351,0.5319548872180451
0.2037037037037037,0.2692307692307692,0.5449101796407185,0.19021364576154376,0.28804347826086957,0.23741935483870968,0.16540317022742937,0.7275,0.591715976331361,0.15568862275449102,0.589041095890411,0.3562874251497006,593934.0,4.344311377245509,334,0.40248104755341146,0.39775449101796456,0.27318263473053883,0.4658855961405927
0.09814323607427056,0.37747653806047965,0.6084558823529411,0.14099468855625302,0.5348258706467661,0.36151079136690645,0.15934331240946403,0.7856071964017991,0.6955161626694474,0.06433823529411764,0.6913002806361085,0.2426470588235294,444432.0,3.806985294117647,544,0.5161757605021728,0.34310661764705935,0.2759246323529408,0.46306132303235154
0.06832298136645963,0.3741339491916859,0.6680851063829787,0.13695395513577333,0.503448275862069,0.3502415458937198,0.15820543093270367,0.804416403785489,0.7321016166281755,0.02127659574468085,0.70995670995671,0.2680851063829787,446481.0,3.6042553191489364,235,0.5454545454545454,0.29063829787234036,0.22752765957446797,0.5112160566706021
0.0,0.5,0.75,0.07142857142857142,0.5,0.5,0.21428571428571427,0.8,0.8333333333333334,0.0,0.6666666666666666,0.25,518170.0,3.5,4,0.6428571428571429,0.0,0.11425,0.42857142857142855
0.023255813953488372,0.3869047619047619,0.625531914893617,0.1873661670235546,0.7166666666666667,0.27906976744186046,0.0867237687366167,0.8571428571428571,0.6527777777777778,0.07659574468085106,0.8195991091314031,0.1829787234042553,493596.0,3.974468085106383,235,0.480728051391863,0.2795744680851064,0.20954468085106373,0.5396145610278372
0.032362459546925564,0.37091988130563797,0.5639097744360902,0.14697802197802198,0.7009803921568627,0.2608695652173913,0.07211538461538461,0.9043478260869565,0.6824925816023739,0.09774436090225563,0.8418674698795181,0.12030075187969924,475174.0,3.6491228070175437,399,0.45604395604395603,0.3328320802005019,0.26318295739348374,0.46291208791208793
0.05925925925925926,0.5070422535211268,0.6,0.11175616835994194,0.6687898089171974,0.38765432098765434,0.12336719883889695,0.8405797101449275,0.7288732394366197,0.04864864864864865,0.7664835164835165,0.22162162162162163,571431.0,3.7243243243243245,185,0.5283018867924528,0.29,0.2653351351351352,0.41219158200290273
0.018867924528301886,0.358695652173913,0.6136363636363636,0.2054794520547945,0.5849056603773585,0.292817679558011,0.1178082191780822,0.8073394495412844,0.592391304347826,0.07954545454545454,0.7345679012345679,0.29545454545454547,501800.0,4.1477272727272725,88,0.4438356164383562,0.2312499999999999,0.17127272727272722,0.5041095890410959
0.02546296296296296,0.3375,0.5658362989323843,0.16541353383458646,0.6481481481481481,0.24816176470588236,0.08176691729323309,0.8851744186046512,0.6615384615384615,0.07829181494661921,0.8183716075156576,0.15302491103202848,276519.0,3.786476868327402,562,0.450187969924812,0.28950177935943083,0.22619395017793595,0.48872180451127817
0.08502024291497975,0.3949801849405548,0.6381909547738693,0.1260037059913527,0.5637860082304527,0.2819025522041763,0.15441630636195183,0.7396021699819169,0.7305151915455746,0.11055276381909548,0.6859296482412061,0.25879396984924624,471083.0,4.067839195979899,398,0.4916615194564546,0.33680904522613125,0.25305778894472364,0.46757257566399013
0.0,0.2823529411764706,0.654320987654321,0.2129032258064516,0.4857142857142857,0.25,0.12580645161290321,0.7980769230769231,0.611764705882353,0.024691358024691357,0.7194244604316546,0.3333333333333333,466988.0,3.8271604938271606,81,0.4483870967741935,0.17901234567901236,0.15551851851851847,0.5483870967741935
0.030612244897959183,0.31493506493506496,0.60625,0.18025078369905956,0.45714285714285713,0.21212121212121213,0.10501567398119123,0.8497409326424871,0.6266233766233766,0.1,0.7452471482889734,0.25625,571437.0,3.9875,160,0.4122257053291536,0.37031250000000016,0.21273750000000008,0.4827586206896552
