Barrel,Fstrike,Ocontact,Oswing,SwStr,Zcontact,Zswing,bb_pa,contact,k_pa,p_pa,pa,swing,wOBACON,xwOBACON,zone
0.07462686567164178,0.6295399515738499,0.49310344827586206,0.3666245259165613,0.169921875,0.7832699619771863,0.7060402684563758,0.048426150121065374,0.6801470588235294,0.29539951573849876,3.719128329297821,413,0.53125,0.37817164179104507,0.3510970149253732,0.4850260416666667
0.03497942386831276,0.6413043478260869,0.5892857142857143,0.2688,0.09741550695825049,0.8816371681415929,0.7146245059288537,0.08229813664596274,0.8024193548387096,0.15527950310559005,3.9052795031055902,644,0.49304174950298213,0.4050411522633755,0.3662489711934157,0.5029821073558648
0.1626984126984127,0.6255230125523012,0.3807829181494662,0.26609848484848486,0.19199594731509625,0.6976401179941003,0.738562091503268,0.10251046025104603,0.6047966631908238,0.3619246861924686,4.129707112970712,478,0.4858156028368794,0.5628968253968263,0.5228571428571428,0.46504559270516715
0.0705596107055961,0.6235489220563848,0.5461346633416458,0.31901352426412094,0.14811606756171503,0.7849462365591398,0.7072243346007605,0.06965174129353234,0.7013100436681222,0.2470978441127695,3.8291873963515752,603,0.4958856647899524,0.3868613138686138,0.3679416058394161,0.4556084885231702
0.0,0.96875,0.36363636363636365,0.5892857142857143,0.26666666666666666,0.7659574468085106,0.734375,0.0,0.6,0.625,3.75,32,0.6666666666666666,0.4041666666666666,0.28891666666666665,0.5333333333333333
0.04,0.695364238410596,0.32941176470588235,0.2842809364548495,0.19392917369308602,0.7264150943396226,0.7210884353741497,0.09933774834437085,0.6127946127946128,0.37748344370860926,3.9271523178807946,151,0.5008431703204047,0.3466666666666665,0.3478666666666669,0.4957841483979764
0.022222222222222223,0.6666666666666666,0.4444444444444444,0.33962264150943394,0.19642857142857142,0.7108433734939759,0.7033898305084746,0.031746031746031744,0.6302521008403361,0.25396825396825395,3.5555555555555554,63,0.53125,0.32777777777777783,0.30788888888888893,0.5267857142857143
0.0,0.6666666666666666,0.6153846153846154,0.38235294117647056,0.14285714285714285,0.8095238095238095,0.7241379310344828,0.05555555555555555,0.7352941176470589,0.1111111111111111,3.5,18,0.5396825396825397,0.18000000000000002,0.2192,0.4603174603174603
0.0990990990990991,0.5320388349514563,0.5830508474576271,0.2624555160142349,0.12319538017324351,0.8058394160583942,0.7180293501048218,0.1203883495145631,0.7387755102040816,0.229126213592233,4.034951456310679,515,0.4716073147256978,0.4426426426426434,0.44584684684684656,0.4590952839268527
0.10588235294117647,0.6574585635359116,0.5616883116883117,0.3879093198992443,0.15598885793871867,0.8094218415417559,0.7274143302180686,0.049723756906077346,0.7109677419354838,0.2430939226519337,3.9668508287292816,362,0.5396935933147632,0.4474509803921573,0.4435058823529409,0.44707520891364905
0.0,0.8076923076923077,0.46153846153846156,0.40625,0.13095238095238096,0.8620689655172413,0.5576923076923077,0.0,0.7380952380952381,0.38461538461538464,3.230769230769231,26,0.5,0.225,0.3460625,0.6190476190476191
0.0,0.7142857142857143,0.75,0.5714285714285714,0.2222222222222222,0.6666666666666666,0.8181818181818182,0.0,0.6923076923076923,0.2857142857142857,2.5714285714285716,7,0.7222222222222222,0.0,0.0834,0.6111111111111112
0.05,0.6273584905660378,0.5607476635514018,0.2616136919315403,0.1048951048951049,0.8537414965986394,0.6547884187082406,0.10377358490566038,0.7755610972568578,0.22169811320754718,4.047169811320755,212,0.46736596736596736,0.32571428571428557,0.3058499999999999,0.5233100233100233
0.0,0.8,0.8275862068965517,0.3493975903614458,0.09433962264150944,0.8076923076923077,0.6842105263157895,0.025,0.8148148148148148,0.225,3.975,40,0.5094339622641509,0.215,0.2532,0.4779874213836478
0.10408921933085502,0.6341463414634146,0.5,0.2607626076260763,0.13308223477715003,0.7862903225806451,0.6358974358974359,0.07317073170731707,0.7005649717514124,0.25365853658536586,3.8853658536585365,410,0.4444444444444444,0.47323420074349487,0.41991449814126414,0.4896421845574388
0.03263403263403263,0.5656192236598891,0.7574468085106383,0.2340637450199203,0.05216535433070866,0.9259818731117825,0.6439688715953308,0.07393715341959335,0.8818283166109253,0.12754158964879853,3.756007393715342,541,0.44143700787401574,0.3537296037296043,0.34008857808857756,0.5059055118110236
0.06896551724137931,0.6779661016949152,0.38095238095238093,0.20192307692307693,0.13438735177865613,0.7439024390243902,0.5503355704697986,0.06779661016949153,0.6699029126213593,0.4406779661016949,4.288135593220339,59,0.40711462450592883,0.32241379310344825,0.3602758620689656,0.5889328063241107
0.07308377896613191,0.5941011235955056,0.7125603864734299,0.28991596638655465,0.07297396406307298,0.908883826879271,0.6759045419553503,0.07584269662921349,0.8459752321981424,0.1306179775280899,3.830056179775281,712,0.47378071140447375,0.39073083778966194,0.3837272727272728,0.47634763476347636
0.08498023715415019,0.5829596412556054,0.5955334987593052,0.28765167737330477,0.11229539398553483,0.847045191193511,0.7039151712887439,0.07922272047832586,0.7669826224328594,0.15844544095665172,3.9267563527653215,669,0.48191853825656644,0.4613636363636372,0.4148952569169956,0.4666920441568329
0.013157894736842105,0.5963302752293578,0.5641025641025641,0.22674418604651161,0.09852216748768473,0.8368794326241135,0.6025641025641025,0.05504587155963303,0.7777777777777778,0.23853211009174313,3.7247706422018347,109,0.4433497536945813,0.3578947368421051,0.3158421052631578,0.5763546798029556
0.041474654377880185,0.6024305555555556,0.6165644171779141,0.2887511071744907,0.10587686567164178,0.8575418994413407,0.7054187192118226,0.07291666666666667,0.7821497120921305,0.16319444444444445,3.7222222222222223,576,0.48600746268656714,0.39504608294930954,0.3439539170506907,0.47341417910447764
