date,mlb_id,siera,tbf,tbfSP,k,bb,ld,gb,fb
2018-03-29,456713,3.49,0.0,0,0.0,0.0,0.0,0.0,0.0
2018-03-31,456713,3.618,6.0,0,2.0,2.0,0.0,0.0,2.0
2018-04-02,456713,3.824,10.8806,0,2.9602,3.9602,0.0,0.0,3.9602
2018-04-05,456713,3.745,13.66407606,0,3.9012920199999996,3.88139202,1.0,1.0,3.88139202
2018-04-06,456713,3.815,16.25823933694194,0,4.7854197457139795,4.766110795613979,1.970299,0.970299,3.76611079561398
2018-04-09,456713,3.644,23.09565694357252,0,6.73756554825684,4.71844968765784,2.95059601,2.96059601,5.7284496876578395
2018-04-11,456713,3.577,26.409692836691473,0,7.537453113908064,4.578307013484714,3.86296035790699,4.87266334790699,5.558309003484714
2018-04-14,456713,3.799,31.884139949241312,0,7.387457796941293,5.487198703916368,4.786087446784641,5.77569734728364,7.447698654315368
2018-04-17,456713,3.723,34.93714910860889,0,8.16804291291434,5.324223415211348,4.64393586352769,8.604153360371969,7.226494556583548
2018-04-21,456713,3.659,37.8994808429341,0,8.92544387035787,5.166088655556155,4.506006324445054,9.34860140141556,9.011860441758461
2018-04-22,456713,3.536,37.40609007879394,0,9.573745769344727,4.962524149833507,4.328451696296685,8.980229205280196,8.656757183030015
2018-04-23,456713,3.744,41.032029178006,0,9.47800831165128,5.912898908335172,4.285167179333718,9.890426913227394,10.570189611199714
2018-04-24,456713,3.907,42.62170888622594,0,9.383228228534767,6.85376991925182,4.242315507540381,10.791522644095119,10.464487715087717
2018-05-21,456713,4.092,45.19549179736368,0,9.289395946249419,7.785232220059302,5.199892352464977,11.683607417654168,10.35984283793684
2018-05-24,456713,3.957,42.45445389305448,0,9.081703320308762,6.9350150624625355,5.964100050290897,9.90691299214043,9.897750709282171
2018-05-29,456713,3.997,54.193514157976864,0,10.81196764999227,7.729038180092336,5.7869603146972075,15.612667769360868,12.603777615465782
2018-05-31,456713,3.908,55.53749273335077,0,11.282073654983334,7.350238404565015,8.503341678443217,14.847491701056613,11.986067103460305
2018-06-06,456713,4.112,65.43229662795709,0,11.057560389249165,8.203968660314171,13.334125179042196,18.552026616205588,12.747544368101446
2018-06-08,456713,4.165,65.60320840493958,0,10.410473607280883,7.723873639993707,12.553814165696283,19.466364790316565,14.001559976176026
2018-06-12,456713,4.185,74.29770455768129,0,11.203305182495994,8.570168554557831,13.303993263798926,24.078984130989266,15.722928932650122
2018-06-13,456713,3.995,75.37007855026745,0,12.761850257117972,8.23246971853572,12.779762846272124,24.130176081081604,16.103382798217265
2018-06-14,456713,4.079,76.61637776476478,0,12.634231754546793,9.150145021350363,12.651965217809403,24.888874320270787,15.942348970235091
2018-03-30,622608,4.18,0.0,0,0.0,0.0,0.0,0.0,0.0
2018-04-03,622608,4.27,12.0,0,1.0,0.0,1.0,5.0,4.0
2018-04-09,622608,4.337,17.52715212,0,1.96059601,1.0,0.96059601,5.8029800499999995,6.84238404
2018-04-11,622608,4.383,19.501465796511653,0,1.8458622244098044,0.941480149401,0.9043820750088044,7.463390524445022,7.441968748238218
2018-04-14,622608,3.865,33.11338662716107,0,5.809129566144049,1.92274469442792,1.8863848717161291,12.314869053008566,9.293873570148278
2018-04-15,622608,3.942,35.12988593094776,0,5.636592608900005,1.8656372542587165,2.830357354641288,12.94910512726516,10.017836231241304
2018-04-18,622608,3.93,35.77858707163828,0,5.580226682811006,1.8469808817161293,2.8020537810948754,13.819614075992508,9.917657868928892
2018-04-20,622608,3.852,38.71592725702355,0,6.414488370104836,2.7921237025482784,2.7188299817425765,15.409157718321454,9.623093512563836
2018-04-23,622608,3.818,49.94548030460878,0,7.28684005153975,3.7365604408675677,3.6647252651058992,22.102515479726858,11.431593951663816
2018-04-27,622608,3.72,61.46204959408159,0,9.070413615168968,4.62558085921336,6.555879260006989,27.44604866746349,12.09206417970545
2018-07-03,622608,3.571,72.04019960649688,0,12.713003127780986,5.443314517292725,6.297551459204466,30.364564840231242,15.615588603688977
2018-07-08,622608,3.605,60.739474956286955,24,10.483450387194445,2.7760128161726225,8.211661480467429,24.485495259588642,13.96372760717853
2018-07-22,622608,4.074,84.76263631957912,51,11.969657006842219,5.639960566575041,10.809208361071628,34.285462358742414,20.279366013940717
2018-07-28,622608,3.854,95.63718538189407,73,16.398589404975038,6.899692126394221,15.390454503028407,35.785351863005886,19.61761431022052
2018-08-02,622608,3.946,115.04051158163676,98,21.438946402961555,10.495923173978536,18.48980740486048,37.69119841835013,24.46959445167761
2018-08-18,622608,4.025,135.40238184954228,124,25.388224709555832,11.981518502968413,21.583622866589653,39.84395466465759,33.27034084863365
2018-08-24,622608,4.243,136.28941025054849,145,22.617001223254253,12.201757038869495,23.377543418138814,41.925444830374616,33.3282902625444
2018-08-31,622608,4.223,152.31377432446058,169,25.293457690672014,12.487712039909555,28.009493069937694,46.471974062604474,37.37792369566019
2018-09-05,622608,4.15,164.9663910567551,192,27.57515544222694,12.639363667040605,27.1066779029299,55.31491667258605,39.83866745343644
2018-09-11,622608,4.095,181.88139646288644,217,32.22369845000365,14.01990908442319,28.77818097153053,58.60393536667694,44.88617634949303
2018-09-16,622608,4.101,197.23772431514084,243,34.33797243096221,15.199466099391183,29.09408612056558,67.17444182450555,48.25944401556033
2018-09-22,622608,4.075,208.57111328861822,264,37.65507011558557,16.45454102431338,33.668186411591556,67.88222578269117,49.89425107250397
2018-09-27,622608,4.015,219.3655628997012,287,39.451501038126636,15.491623741895443,35.69792917284593,74.90976807156049,50.97444695399204
