date,mlb_id,wRAA,wrcplus,pa
2018-03-29,608365,0.0,98.76,0.0
2018-03-30,608365,1.3,105.949,5.0
2018-03-31,608365,1.087,104.879,9.95
2018-04-01,608365,2.07613,110.369,14.850499999999998
2018-04-02,608365,2.0553687,110.328,18.701994999999997
2018-04-05,608365,1.0348150129999998,104.597,22.514975049999997
2018-04-06,608365,1.504079972298887,106.955,26.84625777603995
2018-04-07,608365,1.789039172575898,108.313,30.57779519827955
2018-04-08,608365,1.789039172575898,108.313,30.57779519827955
2018-04-10,608365,0.7534372930416375,102.474,33.969297073833786
2018-04-11,608365,0.23844389091010898,99.697,37.29330806206449
2018-04-12,608365,-0.0639405479989921,98.067,41.92037498144384
2018-04-13,608365,-0.8633011425190023,93.737,44.50117123162941
2018-04-14,608365,-1.6546681310938123,89.399,47.05615951931311
2018-04-17,608365,-1.3381214497828742,91.098,51.58559792411998
2018-04-19,608365,-0.9983779046028731,93.034,54.0534540801757
2018-04-20,608365,-1.2785101843012758,91.581,56.977790343980196
2018-04-21,608365,-1.0657250824582631,91.878,61.408012440540396
2018-04-22,608365,-1.8550678316336806,86.754,63.79393231613499
2018-04-24,608365,-2.336517153317344,83.379,65.15599299297364
2018-04-25,608365,-2.5900204619663283,81.83,68.85938873241346
2018-04-26,608365,-3.564120257346665,76.358,72.17079484508933
2018-04-27,608365,-3.6284790547731984,75.899,74.44908689663843
2018-04-28,608365,-3.6921942642254666,75.447,76.70459602767205
2018-04-29,608365,-3.6921942642254666,75.447,76.70459602767205
2018-04-30,608365,-2.41871959836738,82.322,78.17817456672138
2018-05-01,608365,-1.6945324023837063,85.57,80.39639282105416
2018-05-02,608365,-2.677587078359869,79.461,83.59242889284363
2018-05-05,608365,-3.4508112075762707,74.565,85.75650460391519
2018-05-06,608365,-3.1483186639000476,76.331,88.2094506606743
2018-05-07,608365,-3.116835477261047,76.567,91.32735615406756
2018-05-08,608365,-2.0856671224884367,82.215,95.41408259252688
2018-05-09,608365,-3.0648104512635523,76.941,98.45994176660162
2018-05-11,608365,0.1658376532490835,94.606,102.4753423489356
2018-05-12,608365,-0.03746251605057327,93.488,105.43608303619177
2018-05-13,608365,0.26291210910993246,95.118,108.38172220582986
2018-05-15,608365,-0.23971701198116685,92.372,111.29790498377156
2018-05-16,608365,-0.23494664344274163,92.442,113.08307667459451
2018-05-18,608365,-0.23259717700831423,92.444,115.95224590784856
2018-05-19,608365,1.8720315068141513,103.854,118.64479621428238
2018-05-19,608365,0.8533111917460099,98.118,123.45834825213956
2018-05-22,608365,0.8533111917460099,97.938,128.45834825213956
2018-05-23,608365,-0.1720330039600383,92.328,128.64300685070276
2018-05-25,608365,-0.970312673920438,87.888,130.35657678219573
2018-05-27,608365,-0.05100345170942122,93.077,131.76248090423002
2018-05-28,608365,-0.34998848302040375,91.615,133.14040753423583
2018-05-29,608365,1.5535114018098002,102.114,133.80900345889347
2018-05-30,608365,0.2379762877917022,94.929,137.47091342430454
2018-05-31,608365,0.6355965249137852,97.135,140.0962042900615
2018-06-01,608365,0.3292405596646473,95.715,139.69524224716088
2018-06-02,608365,1.2259481540680008,100.718,143.29828982468928
2018-06-03,608365,0.21368867252732082,95.247,148.86530692644237
2018-06-08,608365,0.7115517858020476,98.172,149.37665385717796
2018-06-09,608365,0.7115517858020476,98.172,149.37665385717796
2018-06-10,608365,0.36991188160346017,96.552,144.63515439047737
2018-06-11,608365,0.26621276278742556,96.041,146.1888028465726
2018-06-12,608365,-0.43644936484044866,92.052,149.72691481810688
2018-06-13,608365,-0.5320848711920442,91.5,151.22964566992582
2018-06-15,608365,-0.026764022480123772,94.19,150.71734921322656
2018-06-16,608365,1.9737685815672308,105.05,152.71807396388334
2018-06-17,608365,2.3540308957515585,106.93,156.19089322424452
2018-06-19,608365,2.1304905867940427,105.78,157.62898429200206
2018-06-19,608365,2.488093824116841,107.71,158.4921675045912
2018-06-20,608365,3.088093824116841,110.47,163.4921675045912
2018-06-21,608365,3.088093824116841,110.47,163.4921675045912
2018-06-23,608365,2.526640757016916,107.58,164.23867337124983
2018-06-24,608365,1.4763606059522791,102.29,164.97032377116196
2018-06-25,608365,1.3615969998927562,101.65,166.32062053345032
2018-06-26,608365,1.0479810298938286,100.26,165.6574143281158
2018-06-27,608365,1.9375012195948904,104.6,169.00084018483466
2018-06-28,608365,1.6181262073989415,103.07,171.3108317829863
2018-06-29,608365,2.701944945324952,108.13,174.59772346515643
2018-06-30,608365,3.5749254958717027,111.87,177.85174623050486
2018-07-01,608365,3.7391762409129856,112.27,181.0732287681998
2018-07-03,608365,4.201784478503855,114.19,182.26249648051783
2018-07-04,608365,4.118168967381628,113.72,182.6354728005555
2018-07-06,608365,3.5769872777078113,111.06,184.80911807254995
2018-07-07,608365,2.5058052308814256,106.28,185.1314166229062
2018-07-08,608365,3.7807471785726117,111.71,187.28010245667713
2018-07-09,608365,3.442939706786886,109.97,190.40730143211036
2018-07-10,608365,3.108510309719017,108.43,193.50322841778924
2018-07-11,608365,3.0774252066218266,108.26,195.56819613361134
2018-07-13,608365,2.7466509545556086,106.75,199.6125141722752
2018-07-14,608365,2.4919926005599518,105.78,200.64022514024694
2018-07-15,608365,1.8670726745543522,103.24,203.63382288884446
2018-07-19,608365,1.2484019478088086,100.8,206.59748465995602
2018-07-20,608365,1.1992099299413697,100.77,202.45671944038995
2018-07-21,608365,0.5872178306419559,98.33,205.43215224598603
2018-07-22,608365,-0.41865434766446374,94.4,207.37783072352616
2018-07-23,608365,0.5855321958121809,98.41,209.3040524162909
