mlb_id,date,throws,vL_bb,vL_double,vL_hbp,vL_hr,vL_k,vL_single,vL_triple,vR_bb,vR_double,vR_hbp,vR_hr,vR_k,vR_single,vR_triple
456713,2018-03-29,R,0.08928039839023899,0.0432100544678448,0.009255301983826748,0.030951981722273838,0.25395357020897696,0.13606735224653668,0.004283050828385589,0.07132454675676025,0.04140908239126393,0.010180618321381521,0.029201411899456405,0.2446235195774747,0.1411801403868666,0.003848148560299729
456713,2018-03-31,R,0.09123282186978374,0.04319077895685704,0.009181259567956134,0.030869443104347777,0.2545886083139718,0.1360004958092538,0.0042805906732233815,0.07288430368287865,0.04139061027331694,0.010099173374810469,0.029123541467724525,0.24523522689146052,0.14111077179075943,0.003845938210031919
456713,2018-04-02,R,0.0932912697239852,0.04311879432526228,0.009120051170836425,0.03080084434189367,0.25422468425854533,0.13577382831623838,0.004273456355434676,0.07452876162516531,0.04132162592286141,0.01003184555231173,0.029058822486685138,0.24488467311415363,0.14087558717110818,0.0038395283130151993
456713,2018-04-05,R,0.09291810464508925,0.04307567553093702,0.009083570966153079,0.030759776549437814,0.2545411188548445,0.13563805448792216,0.004269182899079241,0.07423064657866464,0.041280304296938554,0.009991718170102483,0.029020077390036224,0.24518948215699982,0.14073471158393708,0.0038356887847021837
456713,2018-04-06,R,0.09387976555984223,0.04309842789260994,0.009047236682288465,0.030718763514038565,0.2548562877127584,0.13571598877204685,0.004270803522975802,0.07499890064243624,0.0413021083522843,0.009951751297422073,0.028981383953516175,0.24549307196367462,0.14081557428165267,0.003837144849961323
456713,2018-04-09,R,0.09300355441461704,0.04306500949214178,0.008962795806587107,0.030623194027550444,0.255144295694106,0.13560459639878894,0.004266944261250088,0.07429891090310684,0.041270082812964515,0.0098588682853128,0.028891219647883017,0.2457704987626193,0.14069999629299537,0.0038336774588308697
456713,2018-04-11,R,0.09250753545773907,0.043007589479485596,0.008914994228951976,0.030568752793723685,0.25511685945040413,0.13542379027025722,0.004261255002235088,0.07390265004495693,0.04121505603588056,0.009806287654457799,0.028839857479620108,0.24574407050452154,0.14051239629793805,0.003828565888885762
456713,2018-04-14,R,0.0931008085074105,0.04298871889847456,0.010177007608453694,0.03048723611960709,0.2530759245748009,0.1353582209569269,0.004258838438725181,0.07437660549468351,0.04119697197064435,0.011194473210762204,0.02876295119300779,0.24377811794048534,0.14044436319000875,0.00382639470396078
456713,2018-04-17,R,0.09260427086203762,0.04300134289613903,0.010122730234541938,0.030433036588727785,0.2530595196437353,0.13539349497717462,0.004259265933968111,0.07397993026537852,0.04120906980680385,0.011134769353638137,0.028711817057553553,0.24376231571343895,0.14048096264644233,0.0038267787912082893
456713,2018-04-21,R,0.09211038141744009,0.04294400777227751,0.010068742339957715,0.030841896375533008,0.25304320220563536,0.13521297031720506,0.00425358691272282,0.0735853706372965,0.04115412438039478,0.0110753839170854,0.02909755271579838,0.24374659776493673,0.14029365469624708,0.003821676419486678
456713,2018-04-22,R,0.09198756757555018,0.04292969310302009,0.010055317350171105,0.030828188866032773,0.2540391446026945,0.13516789932709933,0.004252169050418579,0.07348725680978012,0.04114040633893465,0.011060616738529287,0.029084620470146916,0.244705950036553,0.14024689014468167,0.003820402527346849
456713,2018-04-23,R,0.0928303005484806,0.042872453512216066,0.010001688990970193,0.031213427201338042,0.25268426916481346,0.13498767546132986,0.004246499491684688,0.07416050142354755,0.04108555246381607,0.011001626782590463,0.029448070649513446,0.243400851636358,0.14005989429115542,0.0038153086573103866
456713,2018-04-24,R,0.09391608641368464,0.042843871876541255,0.009975017820327605,0.031185681932714635,0.2520104444470406,0.13489768367768898,0.004243668492023564,0.07502791673650433,0.04105816209550686,0.010972289111170222,0.029421894586713886,0.24275178269866104,0.13996652102829465,0.0038127651182055123
456713,2018-05-21,R,0.09487375540136322,0.04286817260261264,0.009935117749046296,0.031144101023471014,0.25100240266925244,0.1349680642612215,0.004245530770026104,0.07579298171964455,0.0410814499802469,0.010928399954725542,0.029382665393931598,0.2417807755678664,0.14003954619193293,0.0038144382999400965
456713,2018-05-24,R,0.09519510201041534,0.04288814667156821,0.009829143159723136,0.03103336644205423,0.2509917103741138,0.13501870595761195,0.004246421247628493,0.07604969989805459,0.041100591540637325,0.010811830355208472,0.02927819369475318,0.24177047609908148,0.1400920907714209,0.003815238358179168
456713,2018-05-29,R,0.09487838690890148,0.04290373182983522,0.010992104678287937,0.030854062547055694,0.24930785406096245,0.13504945970009286,0.004246337928372458,0.07579668174990789,0.04111552711780119,0.012091061153258259,0.02910903079785016,0.24014848331730304,0.14012400009874437,0.0038151634991854273
456713,2018-05-31,R,0.09437236884538734,0.04284652685406211,0.010933480120003733,0.03079921088030537,0.24931154550597065,0.13486939375382606,0.0042406761444679615,0.07539243278057504,0.04106070641497746,0.012026575493774214,0.02905728140976509,0.24015203914158023,0.13993716809861273,0.003810076614519847
456713,2018-06-06,R,0.09432157410232164,0.043039134369909374,0.010773122411577012,0.0306486369604461,0.2456549761718831,0.13545363088434687,0.0042642768908347575,0.07535185374987952,0.041245286152057664,0.011850185719865526,0.028915223589539574,0.2366298092341704,0.14054335818568592,0.0038312809340090032
456713,2018-06-08,R,0.09381852570710926,0.04304889345536409,0.010715665758715269,0.030594150494738643,0.24434481629896637,0.13547830431037794,0.004264697134808208,0.07494997719654682,0.04125463848402379,0.011786984729359577,0.028863818747602615,0.2353677835849215,0.1405689587261049,0.0038316585062831143
