date,mlb_id,siera,tbf,tbfSP,k,bb,ld,gb,fb
2017-05-02,466948,3.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-03,466948,3.8156,6.0,0.0,0.0,0.0,1.0,4.0,1.0
2017-05-05,466948,3.97084736,8.994,0.0,0.0,0.0,0.999,4.996,2.999
2017-05-09,466948,4.11449430780344,11.976020994,0.0,0.0,2.0,0.997002999,5.986012996,2.993004999
2017-05-12,466948,4.13238633923223,20.928188718257857,0.0,2.0,3.9920119920020003,1.993020965034979,8.96210483615591,3.981050925064967
2017-05-13,466948,4.080200741800546,30.86546691574105,0.0,3.994005998,3.980047928069958,1.9870478792097483,11.935245398999847,8.969119711461497
2017-04-03,456713,3.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-05,456713,3.66684,6.0,0.0,0.0,0.0,0.0,1.0,5.0
2017-04-09,456713,3.4199562819200002,9.988006,0.0,2.0,1.0,0.0,0.998001,5.990005
2017-04-16,456713,3.158310940980134,15.948113864093965,0.0,4.992011992002,0.996005996001,0.0,2.994014980014994,5.966080896075971
2017-04-20,456713,2.9665959868593217,18.836811419810317,0.0,7.957172565764014,0.9890548353295385,0.0,2.9731196447836727,5.924443408898113
2017-04-22,456713,2.880711094910681,21.761577119671188,0.0,9.92539158671562,0.9851045463620021,0.0,2.9612449930329015,6.9007811582311245
2017-04-23,456713,2.8442593557965496,25.718075727008966,0.0,10.905550728933775,0.9831353223738244,1.0,3.9553254642918287,7.886986496695821
2017-04-29,456713,2.833670101778873,28.692357651281956,0.0,11.894645178204842,0.9821521870514506,0.999,3.951370138827537,9.879099510199126
2017-05-04,456713,2.788829777093406,33.520633317322094,0.0,12.82345548909873,0.9762739865836303,0.993020965034979,6.927721109578498,10.81997290219672
2017-05-05,456713,3.0517158669074744,39.35336502202989,0.0,12.759466318037678,2.9714023696327185,1.988065780494209,6.893151711999122,13.76598112926912
2017-05-10,456713,3.099420155736739,44.31401165700786,0.0,13.74670685171964,3.9684309672630858,1.9860777147137147,8.886258560287123,14.75221514813985
