steamerid,mlbamid,firstname,lastname,IP,G,GS,start_percent,start_IP,relief_IP,SV,League,DBTeamId,FBV,reliability,Throws,age,Krate,BBrate,HBPrate,GBrate,FBrate,LDrate,SIERA,BABIP,TBF,batters_per_IP,ERA,RA,K,BB,IBB,1b,2b,3b,HR,HBP,SH,SF,GB,FB,LD,K9,BB9,HBP9,HR9,H,ER,R,WHIP,W,L,QS,HLD,holds_old,SV_old,HR/FB,FIP,LOB%,ERA-,CG,ShO
sa599694,607772,Ali,Williams,1,1,0,0,0,1,0,AL,KCA,NULL,0.32546,R,27,0.1881,0.1172,0.007933,0.43322981,0.35919123,0.20757896,4.49,0.294884,4.444,4.444,4.5279,4.8843,0.836,0.5209,0.0412,0.65058,0.1921,0.02268,0.1177,0.0353,0.024,0.04493,1.3113,1.0872,0.6283,7.524,4.6881,0.3177,1.059264622,0.9831,0.5031,0.5427,1.5039626,0.045,0.052,0,0,0,0,0.10825613,4.6736,0.72504273,111.5324933,0,0
sa599701,607647,Tyler,Melling,1,0.8853859649,0.0244,0.1397899,0.139,0.861,0,NL,SLN,NULL,0.19837,L,28,0.19606222,0.09849995,0.0089,0.46140006,0.33328891,0.20531103,4.1087117,0.2990007888,4.378,4.378,4.0842,4.4415,0.8585,0.4313,0.0373,0.67464,0.18666,0.01868,0.1069,0.0389,0.0459,0.04164,1.3848,1.0003,0.6162,7.7265,3.8817,0.3501,0.96179743,0.9869,0.4538,0.4935,1.418154329,0.0493,0.0511,0.0107,0,0,0,0.10683433,4.2298935,0.73697707,100.6074918,0.0003,0.0001
sa599715,571500,Bryan,Blough,1,0.4607368421,0.1147,0.6566831,0.654,0.346,0,AL,CHA,NULL,0.30472,R,27,0.1546502,0.09201658,0.010167,0.43524526,0.36124416,0.20351058,4.6917747,0.300334169,4.474,4.474,5.2335,5.598,0.6918,0.4117,0.0196,0.71705,0.21159,0.02213,0.159,0.0455,0.0242,0.0492,1.4357,1.1916,0.6713,6.2262,3.7053,0.4095,1.431135673,1.1098,0.5815,0.622,1.521488025,0.0431,0.0698,0.0378,0,0,0,0.13344669,5.2022392,0.70292419,128.9172651,0.001,0.0005
sa599716,607335,Jim,Moran,1,1,0,0,0,1,0,NL,CIN,NULL,0.43564,R,27,0.1908,0.1062,0.010518,0.46277035,0.33481922,0.20241043,4.25,0.294997,4.439,4.439,4.5765,4.9392,0.8469,0.4714,0.0412,0.66649,0.18241,0.01842,0.1335,0.0467,0.0466,0.04221,1.4015,1.014,0.613,7.6221,4.2426,0.4203,1.201804653,1.0008,0.5085,0.5488,1.472245091,0.0427,0.0543,0,0,0,0,0.13169019,4.7434,0.72833841,112.7444549,0,0
sa599717,607265,Greg,Ross,1,0.2710877193,0.1551,0.8862666,0.884,0.116,0,NL,WAS,NULL,0.60967,R,27,0.13669119,0.07785601,0.00796,0.46000996,0.33202427,0.20796577,4.6983479,0.3039985085,4.449,4.449,5.013,5.3946,0.6082,0.3464,0.0203,0.76644,0.22198,0.0204,0.1406,0.0354,0.0467,0.04709,1.5696,1.1329,0.7096,5.4738,3.1176,0.3186,1.265190204,1.1494,0.557,0.5994,1.495795502,0.0529,0.0658,0.057,0,0,0,0.1240857,4.903486,0.6982942,123.4940225,0.0016,0.0007
sa599724,595896,Hawtin,Buchanan,1,1,0,0,0,1,0,AL,SEA,NULL,0.24646,R,24,0.1505,0.1791,0.009835,0.4361746,0.36212635,0.20169905,5.98,0.294323,4.817,4.817,5.7951,6.1929,0.725,0.8627,0.0447,0.68438,0.19425,0.01874,0.1329,0.0474,0.026,0.04723,1.376,1.1424,0.6363,6.525,7.7643,0.4266,1.196501985,1.0303,0.6439,0.6881,1.893025433,0.04,0.0569,0,0,0,0,0.11637313,6.1556,0.7138593,142.7552853,0,0
sa599733,605420,Ben,Paullus,1,1,0,0,0,1,0,NL,SDN,NULL,0.3199,R,27,0.1811,0.0933,0.008015,0.46234202,0.33424684,0.20341114,4.18,0.298439,4.39,4.39,4.3713,4.7322,0.795,0.4096,0.0407,0.69482,0.18879,0.02095,0.1191,0.0352,0.0461,0.04314,1.434,1.0367,0.6309,7.155,3.6864,0.3168,1.071938015,1.0237,0.4857,0.5258,1.433262552,0.0424,0.0545,0,0,0,0,0.11488784,4.4398,0.72416878,107.6798348,0,0
sa599738,607514,Ian,Dickson,1,0.2405789474,0.1616,0.9216314,0.921,0.079,0,NL,WAS,NULL,0.4137,R,26,0.13518868,0.12903291,0.010911,0.46001853,0.33201806,0.20796341,5.4586526,0.3040243051,4.683,4.683,5.679,6.0795,0.6331,0.6043,0.0205,0.75181,0.21816,0.02006,0.1382,0.0511,0.0492,0.04621,1.5389,1.1107,0.6957,5.6979,5.4387,0.4599,1.244049785,1.1283,0.631,0.6755,1.732552277,0.0464,0.073,0.0482,0,0,0,0.12445103,5.6439452,0.69689264,139.8810666,0.0013,0.0006
sa599742,605482,Cy,Sneed,1,0.2059473684,0.1689,0.9640073,0.963,0.037,0,AL,HOU,NULL,0.5805,R,24,0.16912813,0.07843365,0.007897,0.43611775,0.36207699,0.20180527,4.3933654,0.296793011,4.362,4.362,4.8222,5.1768,0.7378,0.3422,0.0092,0.68136,0.21186,0.02552,0.1526,0.0344,0.0235,0.04821,1.406,1.1673,0.6506,6.6402,3.0798,0.3096,1.373019309,1.0713,0.5358,0.5752,1.413505659,0.0564,0.0642,0.0665,0,0,0,0.1306928,4.7844847,0.70703076,118.7897048,0.0019,0.0009
sa599745,596026,Johnny,Magliozzi,1,1,0,0,0,1,0,NL,NYN,NULL,0.28347,R,25,0.1343,0.1256,0.009071,0.46315255,0.33510432,0.20174313,5.23,0.30215,4.651,4.651,5.5116,5.9067,0.6247,0.5842,0.0431,0.75586,0.20915,0.02052,0.1384,0.0422,0.0488,0.0467,1.5517,1.1227,0.6759,5.6223,5.2578,0.3798,1.245606855,1.1239,0.6124,0.6563,1.708132242,0.0397,0.0572,0,0,0,0,0.12327493,5.576,0.70284755,135.7741893,0,0
