role,pn,split,Throws,steamerid,mlbamid,firstname,lastname,start_percent,percentL,TBF,SH,SF,HBP,BB,IBB,AB,SO,1b,2b,3B,HR,AVG,OBP,SLG,wOBA,BABIP,SH/PA,SF/PA,HBP/PA,BB/PA,IBB/PA,AB/PA,SO/PA,1B/PA,2B/PA,3B/PA,HR/PA
RP,1,total,R,13424,572403,Drew,VerHagen,0,0.4031623042,86.13264427,0.4651162791,0.6647717485,0.8443583118,7.157622739,0.8262704565,77.00077519,16.01205857,14.44468047,3.610348039,0.3811893037,1.895217438,0.2640419554,0.3307369428,0.3700559729,0.31314,0.3061305361,0.0054,0.007718,0.009803,0.0831,0.009593,0.893979,0.1859,0.1677027403,0.04191614074,0.004425607816,0.02200347445
RP,0,total,R,13427,572990,Pat,Light,0,0.4031942535,66.05019815,0.6935270806,0.5621532365,0.5603698811,7.047556143,0.6379788639,57.18659181,13.34214003,10.38229718,2.731184115,0.2606765029,1.417430742,0.2586548362,0.342727287,0.3651028411,0.318393,0.3061659966,0.0105,0.008511,0.008484,0.1067,0.009659,0.865805,0.202,0.1571879793,0.0413501275,0.003946642254,0.02145990144
RP,1,total,R,13427,572990,Pat,Light,0,0.4031942535,66.28369421,0.6959787892,0.586345559,0.5623508617,7.403888643,0.6402342024,57.03513036,13.48873177,9.964147912,2.719191336,0.2865924594,1.640904478,0.2561725746,0.3442272009,0.3714381165,0.322737,0.3003145834,0.0105,0.008846,0.008484,0.1117,0.009659,0.86047,0.2035,0.1503257782,0.04102353329,0.004323724905,0.02475577889
RP,0,total,R,13442,573046,Mike,Morin,0,0.4264192877,231.092437,1.24789916,2.562815126,2.16394958,17.47058824,2.353676471,207.6471849,50.7710084,33.33884618,9.640846117,0.9724274786,6.275768256,0.2418905321,0.3039551277,0.3581321156,0.296376,0.2846434833,0.0054,0.01109,0.009364,0.0756,0.010185,0.898546,0.2197,0.1442662798,0.04171857047,0.004207958908,0.02715696082
RP,1,total,R,13442,573046,Mike,Morin,0,0.4264192877,232.6565144,1.256345178,2.454060914,2.178595601,17.98434856,2.369606599,208.7831641,52.02199662,33.95877963,10.02750566,1.070158242,6.475883539,0.2468222344,0.3098324063,0.3671364816,0.302835,0.2925824971,0.0054,0.010548,0.009364,0.0773,0.010185,0.897388,0.2236,0.1459610092,0.04310004252,0.004599734698,0.02783452489
RP,0,total,L,13449,573124,Taylor,Rogers,0,0.3882584491,234.3417128,1.265445249,2.178440562,2.127354069,16.82357077,2.235096119,211.9469022,47.26672348,38.10889045,10.32150975,1.096019381,5.894049713,0.2614827994,0.3190860867,0.3761419319,0.309691,0.3052851819,0.0054,0.009296,0.009078,0.07179076471,0.009537764713,0.9044352353,0.2017,0.1626210289,0.04404469708,0.004677013613,0.02515151759
RP,1,total,L,13449,573124,Taylor,Rogers,0,0.3882584491,232.2635135,1.254222973,2.052048142,2.108488176,16.65329392,2.194193412,210.1954603,49.40244932,37.02397707,9.859098502,1.019247426,5.620724486,0.2546346501,0.3129087554,0.3647181043,0.302377,0.3022637492,0.0054,0.008835,0.009078,0.0717,0.009447,0.904987,0.2127,0.1594050504,0.04244790046,0.004388323462,0.02419977379
RP,0,total,R,1345,502028,Blake,Wood,0,0.446881695,193.2159725,2.028767711,1.487569772,1.500708459,21.27307857,1.88540146,166.925848,49.09617862,26.92170379,6.997717271,0.7238642122,4.472973591,0.2343331445,0.3237143718,0.3385194829,0.300875,0.296418124,0.0105,0.007699,0.007767,0.1101,0.009758,0.863934,0.2541,0.1393347736,0.0362170745,0.003746399445,0.02315012332
RP,1,total,R,1345,502028,Blake,Wood,0,0.446881695,194.8895626,2.046340407,1.600238198,1.513707233,21.35989606,1.901732352,168.3693807,46.52013859,28.01486563,7.575253808,0.8215370832,4.296575896,0.2417793084,0.3297073913,0.3475674256,0.306319,0.3004280809,0.0105,0.008211,0.007767,0.1096,0.009758,0.863922,0.2387,0.1437473883,0.03886946898,0.004215398056,0.02204620832
RP,0,total,R,13485,592815,Samuel,Tuivailala,0,0.4212217765,64.73888649,0.6797583082,0.5484031075,0.6284203712,7.490289167,0.5974751834,55.39201554,17.16227881,8.672438045,2.427802099,0.250859186,1.362157978,0.2295142573,0.3251990378,0.3315837772,0.299143,0.2979624305,0.0105,0.008471,0.009707,0.1157,0.009229,0.855622,0.2651,0.1339602597,0.03750144976,0.003874938226,0.02104080024
RP,1,total,R,13485,592815,Samuel,Tuivailala,0,0.4212217765,65.04770165,0.6830008673,0.5726799653,0.6314180399,7.662619254,0.6003252385,55.49798352,17.18560278,8.5659178,2.459860398,0.2633839257,1.508334715,0.2305939068,0.3276879078,0.3387653627,0.303678,0.2966170032,0.0105,0.008804,0.009707,0.1178,0.009229,0.853189,0.2642,0.1316867096,0.03781625386,0.004049088885,0.02318813235
RP,0,total,R,13528,621199,Matt,Bowman,0,0.3918538743,171.0863986,1.796407186,1.307613345,1.202737382,12.28400342,1.553806672,154.4956373,30.53892216,29.83438596,7.31969878,0.7464180248,3.490004793,0.2679072903,0.3241612094,0.3701272927,0.308645,0.3067110026,0.0105,0.007643,0.00703,0.0718,0.009082,0.903027,0.1785,0.1743819859,0.04278363937,0.004362813355,0.02039907801
RP,1,total,R,13528,621199,Matt,Bowman,0,0.3918538743,171.9690456,1.805674979,1.390369733,1.20894239,12.60533104,1.561822872,154.9587274,30.1805675,29.63518287,7.456516967,0.7888355027,3.945188657,0.2699152522,0.3269798737,0.3791350785,0.314176,0.3054167208,0.0105,0.008085,0.00703,0.0733,0.009082,0.901085,0.1755,0.1723285884,0.04335964616,0.004587078448,0.02294127204
RP,0,total,L,13580,595345,Steven,Okert,0,0.4893460782,147.6170392,1.549978912,1.368557571,1.107423028,13.58076761,1.391881063,130.0103121,36.46140869,20.83281534,5.678820136,0.7152528542,3.038312166,0.2327907687,0.3077585804,0.3342131095,0.28899,0.2914175588,0.0105,0.009271,0.007502,0.092,0.009429,0.880727,0.247,0.1411274433,0.03846995012,0.004845327193,0.0205823947
RP,1,total,L,13580,595345,Steven,Okert,0,0.4893460782,149.6365968,1.571184267,1.447135528,1.122573749,13.88627619,1.410923472,131.6094271,35.76314664,21.35877086,6.055499707,0.6541109347,3.847004236,0.2425007573,0.3169155771,0.3569130025,0.30331,0.2954019327,0.0105,0.009671,0.007502,0.0928,0.009429,0.879527,0.239,0.1427376144,0.04046803947,0.004371329932,0.02570897973
RP,0,total,R,13594,596112,Robert,Stephenson,0,0.4226375376,107.8981442,1.132930514,1.0406776,0.984246871,11.66378938,1.027406129,93.07649978,27.74061286,14.1294064,4.104316102,0.4108620813,3.114266252,0.2337738407,0.3222668313,0.3536169031,0.307198,0.2895336337,0.0105,0.009645,0.009122,0.1081,0.009522,0.862633,0.2571,0.1309513385,0.03803880164,0.00380786977,0.02886301962
RP,1,total,R,13594,596112,Robert,Stephenson,0,0.4226375376,108.7429317,1.141800783,1.110047847,0.9919530231,11.70073945,1.035450196,93.7983906,26.2722923,14.70821869,4.435667965,0.4719052006,2.966948708,0.2407582946,0.3278351513,0.3613720462,0.311795,0.293601239,0.0105,0.010208,0.009122,0.1076,0.009522,0.86257,0.2416,0.1352567791,0.04079040261,0.004339640225,0.02728406032
RP,0,total,R,13607,605218,Carl,Edwards Jr.,0,0.3955402174,234.741784,2.464788732,1.742488263,1.776760563,29.76525822,2.141784038,198.9924883,68.28638498,29.10748949,7.852526846,0.8585612874,4.591969833,0.2131263739,0.3183809319,0.3073690725,0.287996,0.2901946617,0.0105,0.007423,0.007569,0.1268,0.009124,0.847708,0.2909,0.1239979052,0.03345176436,0.003657471084,0.01956179149
RP,1,total,R,13607,605218,Carl,Edwards Jr.,0,0.3955402174,236.8647717,2.487080103,1.878100775,1.792829457,29.53703704,2.161154177,201.1697244,66.29844961,30.46834328,8.44087056,0.886091466,4.882998336,0.2220925827,0.3242978016,0.3214069811,0.295731,0.2961985952,0.0105,0.007929,0.007569,0.1247,0.009124,0.849302,0.2799,0.1286318056,0.0356358208,0.003740917062,0.02061513116
RP,0,total,R,1368,457732,Andrew,Bailey,0,0.4357027662,277.5405636,1.498719044,3.23029462,2.172032451,24.67335611,2.498142613,245.9661614,59.92100769,38.8934519,11.64065007,1.169781425,8.373353072,0.2442500063,0.3148893066,0.3691733652,0.307823,0.2834630075,0.0054,0.011639,0.007826,0.0889,0.009001,0.886235,0.2159,0.140136099,0.04194215762,0.004214812458,0.03016983522
RP,1,total,R,1368,457732,Andrew,Bailey,0,0.4357027662,279.5698925,1.509677419,3.092322581,2.187913978,25.44086022,2.516408602,247.3391183,61.47741935,39.61298998,12.09108812,1.291151001,8.641090462,0.2491976198,0.3210279246,0.37839502,0.314481,0.2914666639,0.0054,0.011061,0.007826,0.091,0.009001,0.884713,0.2199,0.141692618,0.04324889212,0.004618347809,0.03090851588
