steamerid,mlbamid,firstname,lastname,IP,G,GS,start_percent,start_IP,relief_IP,SV,League,DBTeamId,FBV,reliability,Throws,age,Krate,BBrate,HBPrate,GBrate,FBrate,LDrate,SIERA,BABIP,TBF,batters_per_IP,ERA,RA,K,BB,IBB,1b,2b,3b,HR,HBP,SH,SF,GB,FB,LD,K9,BB9,HBP9,HR9,H,ER,R,WHIP,W,L,QS,HLD,HR/FB,FIP,LOB%,ERA-,CG,ShO
sa830040,657585,Reed,Garrett,1,0.175438596,0.1754,1,1,0,0,AL,TEX,NULL,0.49893,R,23,0.1079,0.1081,0.008441,0.43491366,0.35491141,0.21017493,5.59,0.303053,4.608,4.608,5.7258,6.1191,0.4972,0.4982,0.0097,0.74772,0.22193,0.02746,0.1549,0.0389,0.0249,0.05202,1.5439,1.2599,0.7461,4.4748,4.4838,0.3501,1.393887798,1.152,0.6362,0.6799,1.650183104,0.0438,0.0782,0.0521,0,0.12292755,5.7643,0.68546708,151.6437469,0.0015,0.0007
sa602881,605519,Vincent,Voiro,1,0.365912281,0.1349,0.7663572,0.769,0.231,0,AL,OAK,NULL,0.16622,R,26,0.10481492,0.11569808,0.008052,0.43790868,0.35794814,0.20414318,5.6953271,0.303965895,4.631,4.631,5.7267,6.1227,0.4854,0.5357,0.0181,0.75224,0.22591,0.02661,0.1368,0.0373,0.025,0.05243,1.5537,1.27,0.7243,4.3686,4.8213,0.3357,1.23147355,1.1416,0.6363,0.6803,1.677301206,0.0401,0.0763,0.04,0,0.10774047,5.6610178,0.67910371,151.6593403,0.0011,0.0006
sa657211,622169,Angel,Duno,1,0.188631579,0.1726,0.983871,0.984,0.016,0,AL,OAK,NULL,0.31742,R,22,0.08776129,0.09443871,0.009895,0.4379124,0.35791675,0.20417085,5.6680645,0.304376646,4.588,4.588,5.7267,6.1227,0.4027,0.4332,0.0102,0.77843,0.23658,0.0282,0.1456,0.0454,0.0248,0.0544,1.6127,1.3181,0.7519,3.6243,3.8988,0.4086,1.310113362,1.1888,0.6363,0.6803,1.621990812,0.0405,0.0811,0.0512,0,0.11043787,5.6567824,0.67442875,151.6617344,0.0014,0.0007
sa829245,656548,Jordan,Holloway,1,0.175438596,0.1754,1,1,0,0,NL,MIA,NULL,0.28663,R,20,0.1007,0.1328,0.008052,0.46411606,0.33008107,0.20580287,5.98,0.301787,4.701,4.701,5.7285,6.1461,0.4734,0.6244,0.0186,0.75084,0.21666,0.02854,0.1194,0.0379,0.0494,0.04825,1.6316,1.1604,0.7235,4.2606,5.6196,0.3411,1.07502452,1.1155,0.6365,0.6829,1.739895912,0.0382,0.084,0.0521,0,0.1029362,5.7269,0.67981894,151.7020103,0.0015,0.0007
sa829372,656674,Kolton,Mahoney,1,0.20677193,0.1688,0.9613799,0.962,0.038,0,AL,NYA,NULL,0.18707,R,24,0.10601061,0.11169336,0.008935,0.43924362,0.35820685,0.20254954,5.6511586,0.296491834,4.609,4.609,5.7294,6.1236,0.4886,0.5148,0.0111,0.73437,0.21417,0.02132,0.164,0.0412,0.0249,0.05232,1.554,1.2673,0.7166,4.3974,4.6332,0.3708,1.476017397,1.1339,0.6366,0.6804,1.648658126,0.0412,0.0799,0.0501,0,0.1294105,5.956808,0.69128874,151.7312055,0.0014,0.0007
sa549616,592153,Michael,Bolaski,1,0.203473684,0.1695,0.966222,0.966,0.034,0,AL,LAA,NULL,0.46781,R,24,0.08580125,0.11790605,0.009673,0.44108412,0.36005068,0.1988652,6.0281777,0.294748324,4.648,4.648,5.733,6.1371,0.3988,0.5481,0.011,0.75387,0.21872,0.02341,0.1441,0.0449,0.0251,0.05396,1.6014,1.3072,0.722,3.5892,4.9329,0.4041,1.297243431,1.1401,0.637,0.6819,1.688246762,0.0413,0.0799,0.05,0,0.11026481,5.9892316,0.68648217,151.8333678,0.0014,0.0007
sa828442,650813,Luis,Escobar,1,0.175438596,0.1754,1,1,0,0,NL,PIT,NULL,0.19408,R,20,0.104,0.1278,0.008905,0.46313482,0.32908221,0.20778297,5.85,0.304025,4.693,4.693,5.7339,6.1488,0.488,0.5997,0.0186,0.76106,0.2183,0.02216,0.1235,0.0418,0.0493,0.04806,1.6269,1.156,0.7299,4.392,5.3973,0.3762,1.111324763,1.125,0.6371,0.6832,1.724703977,0.04,0.0821,0.0519,0,0.10681707,5.6877,0.6797708,151.8582621,0.0015,0.0007
sa736814,642578,Jose,Rodriguez,1,0.175438596,0.1754,1,1,0,0,AL,LAA,NULL,0.2155,R,20,0.0928,0.1245,0.008513,0.44106634,0.36005701,0.19887666,6.04,0.294581,4.655,4.655,5.7366,6.1416,0.432,0.5796,0.0098,0.74238,0.2158,0.02313,0.1415,0.0396,0.0251,0.0532,1.5784,1.2885,0.7117,3.888,5.2164,0.3564,1.273387758,1.1228,0.6374,0.6824,1.702395963,0.0414,0.0806,0.0519,0,0.10980794,5.9669,0.6863053,151.9324155,0.0015,0.0007
sa737042,642664,Wendolyn,Bautista,1,0.405491228,0.1265,0.7172429,0.721,0.279,0,NL,CIN,NULL,0.26613,R,23,0.11273722,0.13263927,0.008749,0.46623309,0.33116544,0.20260147,5.7626206,0.295316014,4.686,4.686,5.7366,6.1479,0.5283,0.6215,0.0263,0.72178,0.2023,0.02147,0.1494,0.041,0.0492,0.04743,1.6058,1.1406,0.6978,4.7547,5.5935,0.369,1.344283636,1.0949,0.6374,0.6831,1.716410962,0.0369,0.0784,0.0377,0,0.13095287,6.0066137,0.69386478,151.9152358,0.0011,0.0005
sa657957,621066,Mitch,Brown,1,0.182035088,0.174,0.9920737,0.992,0.008,0,AL,CLE,NULL,0.59223,R,22,0.11860767,0.13077543,0.011262,0.43688357,0.35690108,0.20621535,5.7852442,0.297592065,4.668,4.668,5.7393,6.1362,0.5536,0.6105,0.0102,0.70658,0.22049,0.01962,0.1438,0.0526,0.0252,0.05051,1.4972,1.2231,0.7067,4.9824,5.4945,0.4734,1.29388896,1.0905,0.6377,0.6818,1.700962826,0.0405,0.0814,0.0513,0,0.11754185,5.8850328,0.69043928,151.9933061,0.0014,0.0007
sa600253,605175,Michael,Cederoth,1,0.293350877,0.1504,0.8560981,0.857,0.143,0,AL,MIN,NULL,0.22436,R,23,0.11762194,0.12272267,0.009292,0.4339944,0.35501285,0.21099275,5.6498537,0.304757707,4.649,4.649,5.7402,6.1335,0.547,0.5707,0.015,0.73754,0.21892,0.02601,0.1387,0.0432,0.0251,0.05079,1.5034,1.2298,0.7309,4.923,5.1363,0.3888,1.248261477,1.1212,0.6378,0.6815,1.691865802,0.0419,0.0766,0.0441,0,0.11277909,5.6847438,0.68373769,152.0291301,0.0012,0.0006
sa503656,571729,Jerad,Grundy,1,0.835087719,0.0351,0.199359,0.2,0.8,0,AL,OAK,NULL,0.31771,L,25,0.10847135,0.13105013,0.009946,0.43790138,0.35791284,0.20418578,5.7678782,0.302961483,4.68,4.68,5.7438,6.1416,0.5077,0.6133,0.0387,0.74931,0.21557,0.02361,0.1213,0.0466,0.0252,0.05155,1.5274,1.2484,0.7122,4.5693,5.5197,0.4194,1.091687645,1.1098,0.6382,0.6824,1.723082828,0.0385,0.0638,0.0097,0,0.09716327,5.67514,0.67960922,152.1305111,0.0003,0.0001
sa598562,607425,Sam,Roberts,1,1,0,0,0,1,0,AL,OAK,NULL,0.36519,R,27,0.1101,0.1307,0.008665,0.43790681,0.35793548,0.20415771,5.7,0.303815,4.679,4.679,5.7447,6.1398,0.5152,0.6116,0.0458,0.7495,0.21524,0.02422,0.1286,0.0405,0.0253,0.05155,1.5272,1.2483,0.712,4.6368,5.5044,0.3645,1.157010108,1.1175,0.6383,0.6822,1.729125901,0.0383,0.0591,0,0,0.1029854,5.7311,0.68406773,152.1336891,0,0
sa688946,622430,Nicolas,Debora,1,0.250473684,0.1595,0.9073756,0.909,0.091,0,NL,NYN,NULL,0.23792,R,22,0.11083756,0.12167324,0.010359,0.46669728,0.33176457,0.20153815,5.6492624,0.302131384,4.664,4.664,5.7447,6.1542,0.5169,0.5675,0.0209,0.74483,0.21461,0.02218,0.1373,0.0483,0.0489,0.04807,1.6263,1.1561,0.7023,4.6521,5.1075,0.4347,1.235406108,1.1189,0.6383,0.6838,1.68638621,0.0387,0.0813,0.0472,0,0.11873311,5.7321012,0.68128239,152.135098,0.0013,0.0007
sa737056,642557,Daniel,Gonzalez,1,0.783140351,0.0461,0.2609066,0.263,0.737,0,AL,BOS,NULL,0.29968,R,20,0.1048385,0.13073396,0.008822,0.43091713,0.35290114,0.21618173,5.8260907,0.302700343,4.699,4.699,5.7447,6.1425,0.4926,0.6144,0.0366,0.73284,0.2384,0.02342,0.1367,0.0414,0.0254,0.05139,1.5195,1.2444,0.7623,4.4334,5.5296,0.3726,1.229995524,1.1313,0.6383,0.6825,1.745724513,0.0424,0.0614,0.0133,0,0.10982495,5.8928233,0.69221089,152.1348941,0.0004,0.0002
sa857695,663423,Trent,Thornton,1,0.215017544,0.167,0.9512354,0.952,0.048,0,AL,HOU,NULL,0.19177,R,22,0.10387289,0.11299707,0.008145,0.43965784,0.35873266,0.2016095,5.7019506,0.298092935,4.614,4.614,5.7456,6.1425,0.4793,0.5214,0.0115,0.7297,0.2233,0.02728,0.1575,0.0375,0.0249,0.05264,1.5625,1.2749,0.7165,4.3137,4.6926,0.3375,1.417129346,1.1377,0.6384,0.6825,1.659129222,0.0432,0.0776,0.0493,0,0.1235068,5.899068,0.68699244,152.165342,0.0014,0.0007
sa657929,622592,Francisco,Gonzalez,1,1,0,0,0,1,0,NL,ATL,NULL,0.28639,R,21,0.1289,0.1519,0.010735,0.46378079,0.32984656,0.20637265,5.73,0.303451,4.751,4.751,5.7465,6.156,0.6124,0.7216,0.0465,0.72576,0.19768,0.02031,0.1146,0.051,0.0499,0.04554,1.5385,1.0942,0.6846,5.5116,6.4944,0.459,1.031499774,1.0584,0.6385,0.684,1.779962145,0.0347,0.0628,0,0,0.10474418,5.7169,0.68659539,152.1919525,0,0
