"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2014","ana","95","99","96","91","95","102","97","100","100","97","98","97"
"2014","bal","102","101","97","87","107","98","99","100","100","101","99","103"
"2014","bos","105","102","115","108","98","99","100","102","98","104","102","99"
"2014","cha","101","99","97","94","107","102","104","99","101","100","102","103"
"2014","cle","102","101","106","80","102","101","100","101","98","101","93","101"
"2014","det","101","100","97","125","100","96","100","100","103","98","104","101"
"2014","kca","103","101","105","115","94","97","99","101","102","101","95","99"
"2014","min","102","102","102","107","99","97","98","102","100","102","100","101"
"2014","nya","101","99","96","81","111","101","101","98","102","98","102","104"
"2014","oak","96","99","99","107","92","97","99","99","103","99","109","98"
"2014","sea","96","98","96","85","99","103","99","97","102","97","107","98"
"2014","tba","97","99","95","101","95","102","100","98","101","99","106","97"
"2014","tex","104","103","99","108","101","98","102","100","101","103","97","101"
"2014","tor","102","97","108","100","105","101","100","100","100","100","99","101"
"2014","ari","105","100","105","125","104","100","100","101","99","100","93","101"
"2014","atl","99","100","98","96","94","103","102","98","100","101","99","97"
"2014","chn","99","99","100","100","100","101","102","100","100","100","100","100"
"2014","cin","101","99","98","91","111","104","102","98","100","99","101","103"
"2014","col","118","110","110","131","113","95","102","107","98","109","90","108"
"2014","mia","98","99","100","109","89","99","100","100","100","99","96","97"
"2014","hou","98","98","98","110","102","104","100","101","97","99","101","99"
"2014","lan","95","97","98","76","101","101","94","99","100","97","102","98"
"2014","mil","103","98","100","101","113","102","101","98","101","100","97","104"
"2014","was","100","103","101","85","97","99","100","100","102","101","100","99"
"2014","nyn","95","96","95","85","102","102","101","97","101","98","108","100"
"2014","phi","99","97","98","93","108","103","101","99","100","96","107","102"
"2014","pit","96","101","99","97","90","96","97","102","98","103","98","97"
"2014","sln","98","101","101","94","96","98","98","101","102","101","104","99"
"2014","sdn","95","98","96","96","96","101","100","100","98","99","97","98"
"2014","sfn","95","100","98","118","85","99","102","101","96","97","95","95"
