year,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
2015,4.25,162,6121,5516,688,1404,275,31,164,655,84,35,469,1248,.254,.317,.405,.721,97,2232,125,53,40,41,32,1092
2016,4.48,162,6153,5519,725,1409,275,29,187,692,85,33,503,1299,.255,.322,.417,.739,97,2304,124,55,34,40,31,1097
2017,4.65,162,6177,5519,753,1407,280,27,204,719,84,31,528,1337,.255,.324,.426,.750,97,2351,127,59,31,39,32,1098
