"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","PA","playerid"
"Roger Kieschnick","Giants",".309","1.39","21.8 %","45.5 %","32.7 %","16.7 %","0.0 %","95","5225"
"Alex Castellanos","Dodgers",".167","1.00","16.7 %","41.7 %","41.7 %","0.0 %","20.0 %","18","7223"
"Ruben Tejada","Mets",".228","1.37","19.2 %","46.7 %","34.1 %","0.0 %","0.0 %","227","5519"
"Jeff Mathis","Marlins",".243","1.14","20.0 %","42.6 %","37.4 %","22.4 %","8.6 %","256","3448"
"Brock Holt","Red Sox",".207","2.20","17.2 %","56.9 %","25.9 %","6.7 %","0.0 %","72","9345"
"Jeff Francoeur","- - -",".260","1.30","17.4 %","46.7 %","35.9 %","13.6 %","4.5 %","256","4792"
"Guillermo Quiroz","Giants",".231","1.41","19.7 %","47.0 %","33.3 %","18.2 %","4.5 %","95","7989"
"Tony Cruz","Cardinals",".247","1.96","18.4 %","54.1 %","27.6 %","25.9 %","3.7 %","129","2802"
"Martin Maldonado","Brewers",".214","0.96","13.6 %","42.4 %","44.0 %","14.5 %","7.3 %","202","6887"
"Logan Watkins","Cubs",".333","3.50","21.7 %","60.9 %","17.4 %","0.0 %","0.0 %","42","4875"
"Cesar Izturis","Reds",".231","1.94","21.6 %","51.7 %","26.7 %","19.4 %","0.0 %","142","656"
"Robinson Chirinos","Rangers",".227","0.42","19.0 %","23.8 %","57.1 %","8.3 %","0.0 %","30","3142"
"Austin Kearns","Marlins",".263","1.67","15.8 %","52.6 %","31.6 %","16.7 %","0.0 %","31","332"
"Josh Thole","Blue Jays",".213","1.17","19.1 %","43.6 %","37.2 %","8.6 %","2.9 %","135","9689"
"Steve Clevenger","- - -",".278","2.75","16.7 %","61.1 %","22.2 %","0.0 %","0.0 %","24","9542"
"Jose Constanza","Braves",".308","18.00","17.4 %","78.3 %","4.3 %","0.0 %","0.0 %","31","6003"
"Josh Phegley","White Sox",".236","0.96","19.4 %","39.4 %","41.2 %","19.1 %","5.9 %","213","9308"
"Jaff Decker","Padres",".136","1.50","13.0 %","52.2 %","34.8 %","25.0 %","12.5 %","31","7945"
"Fernando Martinez","Astros",".250","4.67","19.0 %","66.7 %","14.3 %","0.0 %","33.3 %","35","9210"
"Robert Andino","Mariners",".286","1.67","18.4 %","51.0 %","30.6 %","0.0 %","0.0 %","85","4900"
"Ryan Wheeler","Rockies",".290","1.56","25.8 %","45.2 %","29.0 %","0.0 %","0.0 %","42","9312"
"Pete Orr","Phillies",".333","2.00","18.2 %","54.5 %","27.3 %","33.3 %","0.0 %","22","2748"
"Rob Johnson","Cardinals",".207","2.00","25.0 %","50.0 %","25.0 %","28.6 %","0.0 %","38","8029"
"Mark Kotsay","Padres",".221","1.36","21.2 %","45.5 %","33.3 %","6.8 %","2.3 %","171","1042"
"Henry Blanco","- - -",".168","0.75","21.4 %","33.7 %","44.9 %","22.7 %","6.8 %","150","81"
"Jordan Brown","Marlins",".200","1.50","0.0 %","60.0 %","40.0 %","0.0 %","0.0 %","17","4121"
"Leury Garcia","- - -",".294","1.55","25.0 %","45.6 %","29.4 %","20.0 %","0.0 %","111","5913"
"Jake Marisnick","Marlins",".232","1.30","25.3 %","42.2 %","32.5 %","22.2 %","3.7 %","118","11339"
"Jimmy Paredes","Astros",".280","2.94","19.3 %","60.2 %","20.5 %","17.6 %","5.9 %","135","5481"
"Nick Noonan","Giants",".284","1.04","30.4 %","35.4 %","34.2 %","7.4 %","0.0 %","111","6880"
"Laynce Nix","Phillies",".256","1.50","22.6 %","46.4 %","31.0 %","15.4 %","7.7 %","136","1766"
"Wilfredo Tovar","Mets",".250","3.50","25.0 %","58.3 %","16.7 %","50.0 %","0.0 %","19","10416"
"Alberto Gonzalez","- - -",".222","1.60","13.3 %","53.3 %","33.3 %","20.0 %","6.7 %","60","4906"
"Reid Brignac","- - -",".262","1.71","23.3 %","48.3 %","28.3 %","0.0 %","5.9 %","98","8380"
"Taylor Teagarden","Orioles",".200","1.40","14.3 %","50.0 %","35.7 %","0.0 %","13.3 %","62","5199"
"Cameron Maybin","Padres",".171","2.09","19.0 %","54.8 %","26.2 %","9.1 %","9.1 %","57","5223"
"Danny Espinosa","Nationals",".202","1.33","10.1 %","51.4 %","38.5 %","7.1 %","7.1 %","167","9219"
"John Baker","Padres",".214","1.00","21.4 %","39.3 %","39.3 %","9.1 %","0.0 %","46","4756"
"Tyler Colvin","Rockies",".200","1.33","12.5 %","50.0 %","37.5 %","16.7 %","16.7 %","78","5310"
"Darin Mastroianni","Twins",".279","1.00","20.9 %","39.5 %","39.5 %","5.9 %","0.0 %","73","7316"
"Paul Janish","Braves",".226","0.50","20.0 %","26.7 %","53.3 %","12.5 %","0.0 %","45","7412"
"Jesus Sucre","Mariners",".192","7.50","34.6 %","57.7 %","7.7 %","0.0 %","0.0 %","29","5942"
"Hernan Perez","Tigers",".250","1.41","19.6 %","47.1 %","33.3 %","0.0 %","0.0 %","71","5751"
"Brandon Inge","Pirates",".250","0.73","21.9 %","32.9 %","45.2 %","9.1 %","3.0 %","110","470"
"Ty Wigginton","Cardinals",".237","1.07","23.7 %","39.5 %","36.8 %","28.6 %","0.0 %","63","1491"
"Matt Diaz","Marlins",".200","5.50","13.3 %","73.3 %","13.3 %","50.0 %","0.0 %","19","1771"
"Ben Francisco","Yankees",".125","0.53","9.4 %","31.3 %","59.4 %","10.5 %","5.3 %","50","4677"
"Alex Gonzalez","Brewers",".218","1.42","27.6 %","42.5 %","29.9 %","15.4 %","3.8 %","118","520"
"Chris Snyder","Orioles",".154","1.50","16.7 %","50.0 %","33.3 %","50.0 %","0.0 %","24","4606"
"Thomas Neal","- - -",".182","3.50","18.2 %","63.6 %","18.2 %","0.0 %","0.0 %","17","9461"
"Rey Fuentes","Padres",".294","3.00","20.0 %","60.0 %","20.0 %","33.3 %","0.0 %","36","10329"
"John McDonald","- - -",".135","2.07","15.7 %","56.9 %","27.5 %","21.4 %","7.1 %","77","395"
"Jason Pridie","Orioles",".250","2.00","14.3 %","57.1 %","28.6 %","0.0 %","0.0 %","10","4611"
"Felix Pie","Pirates",".250","2.50","12.5 %","62.5 %","25.0 %","25.0 %","0.0 %","31","3751"
"Adron Chambers","Cardinals",".267","3.50","40.0 %","46.7 %","13.3 %","0.0 %","0.0 %","29","7995"
"John Ryan Murphy","Yankees",".235","0.86","18.8 %","37.5 %","43.8 %","42.9 %","0.0 %","27","10346"
"Tuffy Gosewisch","Diamondbacks",".211","1.31","21.1 %","44.7 %","34.2 %","0.0 %","0.0 %","47","5277"
"Koyie Hill","Marlins",".225","0.89","15.0 %","40.0 %","45.0 %","11.1 %","0.0 %","61","1829"
"Luis Cruz","- - -",".171","0.78","17.7 %","36.2 %","46.1 %","33.8 %","1.5 %","187","3188"
"Kolten Wong","Cardinals",".191","2.80","17.4 %","60.9 %","21.7 %","0.0 %","0.0 %","62","12532"
"Chris McGuiness","Rangers",".286","4.00","28.6 %","57.1 %","14.3 %","0.0 %","0.0 %","34","9423"
"Jhonatan Solano","Nationals",".171","2.50","14.6 %","61.0 %","24.4 %","20.0 %","0.0 %","50","7515"
"Casper Wells","- - -",".188","2.06","14.1 %","57.8 %","28.1 %","22.2 %","0.0 %","102","9700"
"Andy Parrino","Athletics",".182","0.91","4.5 %","45.5 %","50.0 %","18.2 %","0.0 %","36","3972"
"Henry Rodriguez","Reds",".200","0.67","0.0 %","40.0 %","60.0 %","0.0 %","0.0 %","10","7983"
"Tommy Field","Angels",".211","2.75","21.1 %","57.9 %","21.1 %","0.0 %","0.0 %","27","6262"
"Michael Martinez","Phillies",".250","3.50","35.7 %","50.0 %","14.3 %","0.0 %","0.0 %","40","7358"
"Matt Pagnozzi","Astros",".167","4.67","5.6 %","77.8 %","16.7 %","33.3 %","0.0 %","22","6046"
"Carlos Triunfel","Mariners",".176","1.45","15.6 %","50.0 %","34.4 %","18.2 %","0.0 %","47","193"
"Travis Ishikawa","- - -",".222","1.33","22.2 %","44.4 %","33.3 %","0.0 %","0.0 %","20","4793"
"Nick Buss","Dodgers",".111","3.00","11.1 %","66.7 %","22.2 %","0.0 %","0.0 %","20","6835"
"Brent Lillibridge","- - -",".167","0.70","19.0 %","33.3 %","47.6 %","15.0 %","0.0 %","61","3501"
"Cody Clark","Astros",".174","0.89","22.7 %","36.4 %","40.9 %","11.1 %","0.0 %","40","6019"
"Brock Peterson","Cardinals",".133","2.25","13.3 %","60.0 %","26.7 %","0.0 %","0.0 %","28","4984"
"Chris Marrero","Nationals",".167","2.00","0.0 %","66.7 %","33.3 %","25.0 %","0.0 %","16","2852"
"Blake Lalli","Brewers",".176","0.75","17.6 %","35.3 %","47.1 %","25.0 %","0.0 %","24","9246"
"Alex Liddi","Mariners",".100","7.00","11.1 %","77.8 %","11.1 %","100.0 %","0.0 %","18","5411"
"Bryan Anderson","White Sox",".077","0.33","7.7 %","23.1 %","69.2 %","11.1 %","0.0 %","19","9871"
"Michael Taylor","Athletics",".056","0.75","22.2 %","33.3 %","44.4 %","0.0 %","0.0 %","25","2591"
"Drew Butera","- - -",".200","1.00","20.0 %","40.0 %","40.0 %","0.0 %","0.0 %","10","3411"
"Neftali Soto","Reds",".000","1.00","0.0 %","50.0 %","50.0 %","0.0 %","0.0 %","13","5663"
"Casey Kotchman","Marlins",".000","2.17","0.0 %","68.4 %","31.6 %","33.3 %","0.0 %","21","1930"
"Wilson Betemit","Orioles",".000","1.33","0.0 %","57.1 %","42.9 %","0.0 %","0.0 %","10","1861"
