"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","PA","playerid"
"Dan Johnson","White Sox",".313","1.00","15.8 %","42.1 %","42.1 %","12.5 %","37.5 %","31","2167"
"Chris Dickerson","Yankees",".286","3.00","11.1 %","66.7 %","22.2 %","0.0 %","100.0 %","17","7095"
"Denis Phipps","Reds",".400","0.67","16.7 %","33.3 %","50.0 %","33.3 %","33.3 %","11","6968"
"Bill Hall","Orioles","1.000","0.00","50.0 %","0.0 %","50.0 %","0.0 %","100.0 %","14","1605"
"Joey Votto","Reds",".404","1.18","30.2 %","37.8 %","32.0 %","1.1 %","15.1 %","475","4314"
"Darin Ruf","Phillies",".400","0.90","17.4 %","39.1 %","43.5 %","0.0 %","30.0 %","37","9929"
"David Ortiz","Red Sox",".316","0.88","21.5 %","36.7 %","41.8 %","7.8 %","20.0 %","383","745"
"Jason Pridie","Phillies",".222","0.33","20.0 %","20.0 %","60.0 %","0.0 %","16.7 %","10","4611"
"Miguel Cabrera","Tigers",".331","1.17","21.7 %","42.3 %","36.0 %","4.7 %","23.0 %","697","1744"
"Ryan Braun","Brewers",".346","1.14","18.4 %","43.6 %","38.1 %","6.1 %","22.8 %","677","3410"
"Andrew Romine","Angels",".500","1.67","38.5 %","38.5 %","23.1 %","0.0 %","0.0 %","21","1159"
"Mike Trout","Angels",".383","1.35","22.6 %","44.4 %","33.0 %","4.3 %","21.6 %","639","10155"
"Nolan Reimold","Orioles",".333","1.44","26.4 %","43.4 %","30.2 %","12.5 %","31.3 %","69","3441"
"Buster Posey","Giants",".368","1.61","24.6 %","46.5 %","28.9 %","3.9 %","18.8 %","610","9166"
"Giancarlo Stanton","Marlins",".344","0.87","22.1 %","36.2 %","41.7 %","9.4 %","28.9 %","501","4949"
"Andrew McCutchen","Pirates",".375","1.28","21.9 %","43.8 %","34.3 %","6.3 %","19.4 %","673","9847"
"Brandon Moss","Athletics",".359","0.72","21.5 %","32.8 %","45.8 %","8.6 %","25.9 %","296","4467"
"Hector Gimenez","White Sox",".625","2.00","25.0 %","50.0 %","25.0 %","0.0 %","0.0 %","11","2172"
"Prince Fielder","Tigers",".321","1.24","25.4 %","41.3 %","33.3 %","11.3 %","17.9 %","690","4613"
"Carlos Ruiz","Phillies",".339","1.33","24.0 %","43.4 %","32.6 %","5.7 %","15.1 %","421","2579"
"Pete Kozma","Cardinals",".415","1.53","30.9 %","41.8 %","27.3 %","6.7 %","13.3 %","82","2539"
"Edwin Encarnacion","Blue Jays",".266","0.67","17.6 %","33.0 %","49.5 %","12.0 %","18.7 %","644","2151"
"Robinson Cano","Yankees",".326","1.89","25.6 %","48.7 %","25.8 %","9.5 %","24.1 %","697","3269"
"Justin Ruggiano","Marlins",".401","1.08","20.6 %","41.2 %","38.2 %","5.1 %","16.7 %","320","7620"
"Adrian Beltre","Rangers",".319","0.98","21.1 %","39.0 %","39.9 %","10.4 %","17.0 %","654","639"
"Melky Cabrera","Giants",".379","2.00","21.8 %","52.2 %","26.1 %","11.7 %","10.7 %","501","4022"
"Josh Hamilton","Rangers",".320","0.92","21.3 %","37.7 %","41.1 %","4.2 %","25.6 %","636","1875"
"Jhonatan Solano","Nationals",".321","2.25","13.3 %","60.0 %","26.7 %","0.0 %","25.0 %","37","7515"
"Aramis Ramirez","Brewers",".310","0.91","18.9 %","38.6 %","42.5 %","9.6 %","12.9 %","630","1002"
"Matt Kemp","Dodgers",".354","1.24","21.8 %","43.2 %","35.0 %","2.8 %","21.7 %","449","5631"
"Josh Willingham","Twins",".287","0.88","19.0 %","38.0 %","43.0 %","12.7 %","21.2 %","615","2103"
"Evan Longoria","Rays",".313","0.93","21.9 %","37.7 %","40.5 %","4.6 %","19.5 %","312","9368"
"Matt Holliday","Cardinals",".337","1.32","18.9 %","46.2 %","35.0 %","6.7 %","16.4 %","688","1873"
"Carlos Quentin","Padres",".252","0.75","18.3 %","35.0 %","46.7 %","10.4 %","13.9 %","340","6274"
"Jonathan Lucroy","Brewers",".338","1.11","21.1 %","41.5 %","37.5 %","6.8 %","11.7 %","346","7870"
"Chase Headley","Padres",".337","1.51","19.5 %","48.5 %","32.1 %","6.9 %","21.4 %","699","4720"
"Jose Bautista","Blue Jays",".215","0.75","13.6 %","37.0 %","49.5 %","14.8 %","20.0 %","399","1887"
"Billy Butler","Royals",".341","1.64","23.9 %","47.3 %","28.8 %","3.4 %","19.9 %","679","7399"
