key,10_id,10_name,10_pos,1_id,1_name,1_pos,2_id,2_name,2_pos,3_id,3_name,3_pos,4_id,4_name,4_pos,5_id,5_name,5_pos,6_id,6_name,6_pos,7_id,7_name,7_pos,8_id,8_name,8_pos,9_id,9_name,9_pos,date,lineup_status,name,temp
2018/08/22/clemlb-bosmlb-1,1964,Carlos Carrasco,SP,8063,Francisco Lindor,SS,1604,Michael Brantley,LF,6101,Jose Ramirez,3B,2783,Edwin Encarnacion,DH,32107,Yandy Diaz,3B,3444,Brandon Guyer,RF,3255,Yan Gomes,C,34721,Greg Allen,CF,22605,Erik Gonzalez,SS,2018-08-22,Confirmed,Cleveland Indians,77
2018/08/22/clemlb-bosmlb-1,8515,Brian Johnson,SP,1438,Mookie Betts,RF,27702,Andrew Benintendi,LF,5370,Mitch Moreland,1B,4925,J.D. Martinez,DH,1503,Xander Bogaerts,SS,4438,Ian Kinsler,2B,3860,Brock Holt,2B,8086,Blake Swihart,C,1591,Jackie Bradley Jr.,CF,2018-08-22,Confirmed,Boston Red Sox,77
2018/08/22/nyamlb-miamlb-1,4810,Lance Lynn,SP,3128,Brett Gardner,LF,6973,Giancarlo Stanton,RF,3773,Aaron Hicks,CF,31654,Miguel Andujar,3B,7540,Neil Walker,2B,39824,Gleyber Torres,SS,8815,Gregory Bird,1B,6390,Austin Romine,C,4810,Lance Lynn,SP,2018-08-22,Confirmed,New York Yankees,72
2018/08/22/nyamlb-miamlb-1,39774,Trevor Richards,SP,5679,Rafael Ortega,LF,6141,J.T. Realmuto,C,32034,Brian Anderson,3B,2030,Starlin Castro,2B,2582,Derek Dietrich,LF,80626,Austin Dean,OF,6372,Miguel Rojas,SS,31679,Magneuris Sierra,CF,39774,Trevor Richards,SP,2018-08-22,Confirmed,Miami Marlins,72
2018/08/22/kcamlb-tbamlb-1,31669,Jakob Junis,SP,8191,Whit Merrifield,2B,3295,Alex Gordon,LF,5868,Salvador Perez,C,2676,Lucas Duda,1B,8149,Rosell Herrera,2B,75585,Ryan O'Hearn,1B,29742,Hunter Dozier,3B,31613,Brett Phillips,CF,2800,Alcides Escobar,SS,2018-08-22,Confirmed,Kansas City Royals,72
2018/08/22/kcamlb-tbamlb-1,31632,Ryne Stanek,RP,22612,Mallex Smith,LF,2680,Matt Duffy,SS,8043,Ji-Man Choi,1B,2348,C.J. Cron,1B,4418,Kevin Kiermaier,CF,8095,Willy Adames,SS,75597,Michael Perez,C,3256,Carlos Gomez,OF,78983,Brandon Lowe,IF,2018-08-22,Confirmed,Tampa Bay Rays,72
2018/08/22/sfnmlb-nynmlb-1,4385,Casey Kelly,P,75681,Steven Duggar,OF,5741,Joe Panik,2B,5992,Buster Posey,C,1377,Brandon Belt,1B,4753,Evan Longoria,3B,2328,Brandon Crawford,SS,32313,Austin Slater,LF,3736,Gorkys Hernandez,CF,4385,Casey Kelly,P,2018-08-22,Confirmed,San Francisco Giants,75
2018/08/22/sfnmlb-nynmlb-1,8087,Noah Syndergaard,SP,1319,Jose Bautista,RF,75257,Jeff McNeil,2B,3028,Todd Frazier,3B,8128,Michael Conforto,CF,4045,Austin Jackson,CF,33827,Dominic Smith,1B,8076,Kevin Plawecki,C,8087,Noah Syndergaard,SP,31663,Jack Reinheimer,SS,2018-08-22,Confirmed,New York Mets,75
2018/08/22/sdnmlb-colmlb-1,37957,Jacob Nix,P,8823,Travis Jankowski,LF,5944,Jose Pirela,LF,3884,Eric Hosmer,1B,6923,Cory Spangenberg,3B,8053,Austin Hedges,C,3100,Freddy Galvis,SS,39976,Franmil Reyes,RF,8160,Manuel Margot,CF,37957,Jacob Nix,P,2018-08-22,Confirmed,San Diego Padres,72
2018/08/22/sdnmlb-colmlb-1,8051,Jon Gray,SP,1467,Charlie Blackmon,CF,4631,DJ LeMahieu,2B,3264,Carlos Gonzalez,RF,1100,Nolan Arenado,3B,8510,Trevor Story,SS,5763,Gerardo Parra,LF,2548,Ian Desmond,LF,22570,Tony Wolters,C,8051,Jon Gray,SP,2018-08-22,Confirmed,Colorado Rockies,72
2018/08/22/anamlb-arimlb-1,2549,Odrisamer Despaigne,RP,1897,Kole Calhoun,RF,22553,David Fletcher,2B,6049,Albert Pujols,DH,6738,Andrelton Simmons,SS,6269,Rene Rivera,C,80575,Taylor Ward,3B,22626,Jabari Blash,RF,8000,Eric Young,CF,2549,Odrisamer Despaigne,RP,2018-08-22,Confirmed,Los Angeles Angels,72
2018/08/22/anamlb-arimlb-1,1764,Clay Buchholz,SP,5965,A.J. Pollock,CF,2801,Eduardo Escobar,3B,5850,David Peralta,LF,3249,Paul Goldschmidt,1B,2545,Daniel Descalso,3B,6915,Steven Souza,RF,966,Nick Ahmed,SS,1157,Alex Avila,C,1764,Clay Buchholz,SP,2018-08-22,Confirmed,Arizona Diamondbacks,72
2018/08/22/slnmlb-lanmlb-1,34521,Jack Flaherty,SP,1960,Matt Carpenter,1B,5311,Yadier Molina,C,22734,Jose Martinez,RF,3453,Jedd Gyorko,3B,32301,Paul DeJong,SS,7918,Kolten Wong,2B,33820,Harrison Bader,RF,31701,Yairo Munoz,SS,34521,Jack Flaherty,SP,2018-08-22,Confirmed,St. Louis Cardinals,80
2018/08/22/slnmlb-lanmlb-1,39845,Walker Buehler,SP,5821,Joc Pederson,CF,7384,Justin Turner,3B,4816,Manny Machado,3B,32230,Cody Bellinger,1B,2658,Brian Dozier,2B,8242,Max Muncy,C,3335,Yasmani Grandal,C,6048,Yasiel Puig,RF,39845,Walker Buehler,SP,2018-08-22,Confirmed,Los Angeles Dodgers,80
