key,away,bp_away_0,bp_away_1,bp_away_10,bp_away_11,bp_away_12,bp_away_13,bp_away_14,bp_away_15,bp_away_16,bp_away_17,bp_away_18,bp_away_19,bp_away_2,bp_away_20,bp_away_21,bp_away_22,bp_away_23,bp_away_24,bp_away_25,bp_away_3,bp_away_4,bp_away_5,bp_away_6,bp_away_7,bp_away_8,bp_away_9,bp_home_0,bp_home_1,bp_home_10,bp_home_11,bp_home_12,bp_home_13,bp_home_14,bp_home_15,bp_home_16,bp_home_17,bp_home_18,bp_home_19,bp_home_2,bp_home_20,bp_home_21,bp_home_22,bp_home_23,bp_home_24,bp_home_25,bp_home_3,bp_home_4,bp_home_5,bp_home_6,bp_home_7,bp_home_8,bp_home_9,home
2017/04/04/seamlb-houmlb-1,Seattle Mariners,572021,572020,547874.0,519267.0,519240.0,656186.0,,,,,,,592767,,,,,,,543883,608328,433587,621242,502272,451596,664641.0,448609,450203,501789.0,502381.0,571704.0,,,,,,,,605397,,,,,,,502748,606965,572971,594311,571666,593140,621121,Houston Astros
2017/04/04/chnmlb-slnmlb-1,Chicago Cubs,605218,543294,467008.0,451584.0,,,,,,,,,444468,,,,,,,474463,452657,518748,407793,543557,453562,493157.0,493200,593372,446399.0,543779.0,455009.0,,,,,,,,502190,,,,,,,435043,458681,592815,608379,462515,425794,621199,St. Louis Cardinals
2017/04/04/sfnmlb-arimlb-1,San Francisco Giants,502188,519043,502004.0,571882.0,519326.0,,,,,,,,519166,,,,,,,453343,518516,621389,519293,430912,456501,518715.0,425844,592662,605151.0,452666.0,,,,,,,,,407845,,,,,,,592836,543331,571946,407822,605177,571578,517414,Arizona Diamondbacks
2017/04/04/anamlb-oakmlb-1,Los Angeles Angels,445060,572140,502032.0,457732.0,592135.0,,,,,,,,445926,,,,,,,607374,433589,500724,572070,501625,533167,453284.0,433586,593417,425492.0,623430.0,,,,,,,,,543056,,,,,,,608665,592811,448281,593423,605194,640455,521230,Oakland Athletics
2017/04/04/sdnmlb-lanmlb-1,San Diego Padres,502239,450308,543054.0,622766.0,453385.0,543272.0,,,,,,,606131,,,,,,,489334,572362,468504,543506,488748,600526,607067.0,445276,554340,501593.0,548389.0,594795.0,,,,,,,,547943,,,,,,,435221,501822,448179,622072,477132,489265,628317,Los Angeles Dodgers
2017/04/05/kcamlb-minmlb-1,Kansas City Royals,450306,543169,501992.0,621381.0,432934.0,,,,,,,,475243,,,,,,,465657,516969,518633,434628,493247,453178,501985.0,444520,450282,608648.0,279571.0,573124.0,519151.0,595234.0,,,,,,445213,,,,,,,606167,502043,543859,429722,543507,461833,502327,Minnesota Twins
2017/04/06/chnmlb-slnmlb-1,Chicago Cubs,453562,493157,605218.0,451584.0,,,,,,,,,543294,,,,,,,474463,452657,518748,543557,407793,444468,467008.0,493200,593372,446399.0,462515.0,592815.0,,,,,,,,543779,,,,,,,502190,435043,425794,608379,455009,458681,621199,St. Louis Cardinals
2017/05/27/detmlb-chamlb-2,Detroit Tigers,571510,519455,572888.0,543935.0,458677.0,,,,,,,,408061,,,,,,,596057,605242,543278,434378,455376,599683,571656.0,592454,571476,461872.0,502706.0,500872.0,573589.0,573668.0,,,,,,502085,,,,,,,571787,543359,641501,500779,460059,456068,607074,Chicago White Sox
2017/04/05/miamlb-wasmlb-1,Miami Marlins,543408,446899,621295.0,607457.0,573109.0,,,,,,,,475479,,,,,,,612672,570632,543045,547749,450172,573185,430661.0,461829,518875,595014.0,,,,,,,,,,606983,,,,,,,453286,519301,544931,543699,544836,430599,424144,Washington Nationals
2017/04/05/tormlb-balmlb-1,Toronto Blue Jays,462136,573186,457918.0,572193.0,,,,,,,,,607352,,,,,,,434538,501925,571901,434442,276351,592717,608678.0,643354,592332,502154.0,,,,,,,,,,592869,,,,,,,573064,571710,503285,543118,434622,605164,542960,Baltimore Orioles
2017/04/05/atlmlb-nynmlb-1,Atlanta Braves,448802,475054,527055.0,542432.0,462382.0,,,,,,,,592314,,,,,,,447714,605338,518567,285079,527054,112526,571871.0,592789,518774,606160.0,519294.0,,,,,,,,,554430,,,,,,,607229,594798,570663,460283,477569,592665,572831,New York Mets
2017/04/05/nyamlb-tbamlb-1,New York Yankees,547888,476454,476589.0,592741.0,,,,,,,,,622663,,,,,,,547973,656547,461325,571951,282332,501381,518927.0,488984,543606,458584.0,471822.0,541640.0,517008.0,,,,,,,542882,,,,,,,543135,502042,474521,643493,605483,543144,502171,Tampa Bay Rays
2017/04/05/phimlb-cinmlb-1,Philadelphia Phillies,605388,593576,570257.0,450212.0,,,,,,,,,453329,,,,,,,605400,591693,592826,476451,491646,276542,595191.0,456701,543101,621072.0,607237.0,606959.0,605232.0,547179.0,628452.0,,,,,592120,,,,,,,596112,502028,642003,444857,519322,571561,593974,Cincinnati Reds
2017/04/05/pitmlb-bosmlb-1,Pittsburgh Pirates,592866,543037,504379.0,455374.0,,,,,,,,,641771,,,,,,,453281,607192,467100,592791,543339,553878,453265.0,519144,664701,,,,,,,,,,,593958,,,,,,,453214,519242,598264,518886,592390,582494,523260,Boston Red Sox
2017/04/05/clemlb-texmlb-1,Cleveland Indians,545333,594736,542888.0,543766.0,,,,,,,,,592102,,,,,,,446372,457429,471911,458708,517593,519096,502083.0,527048,623434,501817.0,456713.0,473879.0,502026.0,,,,,,,600917,,,,,,,506433,518617,456167,516714,592346,592222,430935,Texas Rangers
2017/04/05/colmlb-milmlb-1,Colorado Rockies,459429,608566,493603.0,607536.0,543022.0,543475.0,,,,,,,542881,,,,,,,592351,608032,622608,445197,623184,518813,518452.0,606930,608718,608349.0,543380.0,491703.0,,,,,,,,453172,,,,,,,543548,519076,605200,502624,501697,503449,448614,Milwaukee Brewers
2017/04/05/seamlb-houmlb-1,Seattle Mariners,592767,547874,502272.0,621242.0,543883.0,608328.0,,,,,,,433587,,,,,,,451596,664641,572020,519267,519240,656186,572021.0,571704,605397,501789.0,594311.0,502748.0,,,,,,,,621121,,,,,,,572971,502381,571666,450203,448609,593140,606965,Houston Astros
2017/04/05/sfnmlb-arimlb-1,San Francisco Giants,502188,456501,518715.0,519166.0,502004.0,,,,,,,,571882,,,,,,,453343,518516,621389,519293,430912,519326,519043.0,425844,592662,452666.0,407845.0,,,,,,,,,571578,,,,,,,571946,517414,605151,592836,407822,543331,605177,Arizona Diamondbacks
2017/04/05/anamlb-oakmlb-1,Los Angeles Angels,445060,572140,501625.0,500724.0,433589.0,,,,,,,,457732,,,,,,,445926,533167,607374,592135,502032,453284,572070.0,521230,425492,605194.0,593423.0,543056.0,,,,,,,,534910,,,,,,,623430,592811,448281,433586,593417,608665,640455,Oakland Athletics
2017/04/05/sdnmlb-lanmlb-1,San Diego Padres,543272,453385,502239.0,600526.0,622766.0,488748.0,,,,,,,450308,,,,,,,606131,489334,572362,468504,543506,607067,543054.0,554340,547943,489265.0,622072.0,445276.0,,,,,,,,435221,,,,,,,501822,477132,594795,628317,501593,548389,448179,Los Angeles Dodgers
2017/04/06/phimlb-cinmlb-1,Philadelphia Phillies,595191,593576,605388.0,591693.0,,,,,,,,,450212,,,,,,,605400,592826,476451,491646,570257,276542,453329.0,456701,543101,593974.0,642003.0,571561.0,502028.0,519322.0,,,,,,592120,,,,,,,605232,596112,628452,444857,621072,607237,606959,Cincinnati Reds
2017/04/06/kcamlb-minmlb-1,Kansas City Royals,450306,543169,493247.0,501985.0,465657.0,,,,,,,,501992,,,,,,,516969,621381,453178,518633,432934,434628,475243.0,595234,450282,444520.0,519151.0,573124.0,279571.0,445213.0,,,,,,606167,,,,,,,543859,429722,543507,502327,461833,608648,502043,Minnesota Twins
2017/04/13/pitmlb-bosmlb-1,Pittsburgh Pirates,592866,543037,543339.0,504379.0,,,,,,,,,455374,,,,,,,592791,453281,607192,467100,453265,641771,553878.0,519144,519141,518886.0,,,,,,,,,,519242,,,,,,,523260,453214,582494,543726,593958,592390,598264,Boston Red Sox
2017/04/06/colmlb-milmlb-1,Colorado Rockies,459429,608566,608032.0,493603.0,445197.0,518813.0,,,,,,,542881,,,,,,,592351,623184,518452,607536,543022,543475,622608.0,608718,453172,608349.0,491703.0,,,,,,,,,543548,,,,,,,448614,519076,605200,503449,501697,502624,606930,Milwaukee Brewers
2017/04/06/detmlb-chamlb-1,Detroit Tigers,519455,408061,543935.0,543278.0,,,,,,,,,572888,,,,,,,596057,458677,605242,541652,434378,571510,434671.0,474029,500779,573589.0,592454.0,,,,,,,,,502706,,,,,,,456068,592229,502085,518858,461872,448306,543359,Chicago White Sox
2017/04/06/sdnmlb-lanmlb-1,San Diego Padres,453385,606131,489334.0,542194.0,543272.0,543506.0,,,,,,,572362,,,,,,,468504,488748,600526,607067,622766,450308,543054.0,445276,554340,501593.0,501822.0,,,,,,,,,547943,,,,,,,622072,477132,594795,628317,489265,548389,435221,Los Angeles Dodgers
2017/04/06/anamlb-oakmlb-1,Los Angeles Angels,445060,500724,453284.0,433589.0,,,,,,,,,592135,,,,,,,533167,445926,457732,607374,502032,501625,572140.0,425492,534910,521230.0,433586.0,448281.0,,,,,,,,543056,,,,,,,623430,593423,593417,608665,640455,605194,592811,Oakland Athletics
2017/04/06/miamlb-wasmlb-1,Miami Marlins,573185,612672,547749.0,475479.0,573109.0,,,,,,,,570632,,,,,,,430661,621295,543045,450172,543408,446899,607457.0,424144,544836,430599.0,,,,,,,,,,543699,,,,,,,453286,544931,461829,606983,518875,519301,595014,Washington Nationals
2017/04/06/atlmlb-nynmlb-1,Atlanta Braves,592314,605338,448802.0,475054.0,447714.0,,,,,,,,518567,,,,,,,285079,112526,527054,571871,527055,462382,542432.0,592789,606160,477569.0,592665.0,,,,,,,,,554430,,,,,,,594798,607229,570663,519294,572831,518774,460283,New York Mets
2017/04/06/tormlb-tbamlb-1,Toronto Blue Jays,462136,457918,501925.0,276351.0,,,,,,,,,434538,,,,,,,572193,571901,434442,592717,608678,573186,607352.0,541640,543606,458584.0,605483.0,488984.0,543144.0,,,,,,,542882,,,,,,,543135,502042,474521,502171,517008,471822,643493,Tampa Bay Rays
2017/04/06/seamlb-houmlb-1,Seattle Mariners,519267,572020,664641.0,572021.0,656186.0,621242.0,,,,,,,592767,,,,,,,543883,547874,433587,592614,502272,519240,451596.0,448609,450203,593140.0,502381.0,571704.0,,,,,,,,502748,,,,,,,621121,606965,572971,594311,571666,501789,605397,Houston Astros
2017/04/06/sfnmlb-arimlb-1,San Francisco Giants,456501,519043,502188.0,519326.0,621389.0,,,,,,,,519166,,,,,,,571882,453343,518715,518516,502004,519293,430912.0,425844,571578,605177.0,543331.0,,,,,,,,,407845,,,,,,,592836,571946,452666,605151,592662,407822,517414,Arizona Diamondbacks
2017/04/07/atlmlb-pitmlb-1,Atlanta Braves,448802,605338,518567.0,475054.0,527055.0,,,,,,,,285079,,,,,,,112526,527054,571871,462382,542432,592314,447714.0,592866,504379,543339.0,453265.0,,,,,,,,,543037,,,,,,,455374,592791,641771,607192,467100,553878,453281,Pittsburgh Pirates
2017/04/07/bosmlb-detmlb-1,Boston Red Sox,598264,519144,523260.0,,,,,,,,,,598287,,,,,,,519242,593958,518886,453214,664701,592390,582494.0,571510,519455,408061.0,,,,,,,,,,572888,,,,,,,434378,596057,434671,605242,458677,541652,543935,Detroit Tigers
2017/04/07/wasmlb-phimlb-1,Washington Nationals,461829,518875,595014.0,,,,,,,,,,424144,,,,,,,543699,544931,430599,453286,519301,544836,606983.0,605388,595191,593576.0,491646.0,,,,,,,,,453329,,,,,,,450212,605400,591693,476451,592826,570257,276542,Philadelphia Phillies
2017/04/07/lanmlb-colmlb-1,Los Angeles Dodgers,445276,554340,548389.0,594795.0,451661.0,,,,,,,,435221,,,,,,,501822,622072,477132,628317,501593,489265,547943.0,608566,542881,607536.0,608032.0,623184.0,459429.0,,,,,,,592351,,,,,,,622608,445197,518813,518452,493603,543022,543475,Colorado Rockies
2017/04/07/sfnmlb-sdnmlb-1,San Francisco Giants,502188,456501,519166.0,502004.0,571882.0,,,,,,,,519043,,,,,,,595345,453343,518516,621389,519293,430912,518715.0,543272,453385,600526.0,488748.0,543506.0,,,,,,,,450308,,,,,,,489334,572362,468504,607067,543054,606131,622766,San Diego Padres
2017/04/07/nyamlb-balmlb-1,New York Yankees,547888,592741,461325.0,571951.0,,,,,,,,,476454,,,,,,,547973,476589,282332,501381,622663,656547,518927.0,592332,592869,502154.0,,,,,,,,,,573064,,,,,,,605164,571710,434622,543118,503285,643354,542960,Baltimore Orioles
2017/04/07/miamlb-nynmlb-1,Miami Marlins,573185,543408,612672.0,621295.0,430661.0,,,,,,,,446899,,,,,,,475479,570632,573109,543045,547749,607457,450172.0,592789,592665,606160.0,572831.0,,,,,,,,,518774,,,,,,,460283,594798,607229,570663,477569,554430,519294,New York Mets
2017/04/07/tormlb-tbamlb-1,Toronto Blue Jays,462136,573186,501925.0,571901.0,,,,,,,,,457918,,,,,,,607352,276351,592717,434538,608678,572193,434442.0,488984,541640,643493.0,458584.0,543144.0,517008.0,,,,,,,543606,,,,,,,543135,502042,474521,502171,605483,542882,471822,Tampa Bay Rays
2017/04/07/oakmlb-texmlb-1,Oakland Athletics,521230,425492,605194.0,593417.0,534910.0,,,,,,,,543056,,,,,,,623430,592811,448281,593423,433586,608665,640455.0,473879,527048,456167.0,592222.0,501817.0,600917.0,,,,,,,623434,,,,,,,502026,506433,518617,456713,430935,516714,592346,Texas Rangers
2017/04/07/chnmlb-milmlb-1,Chicago Cubs,605218,453562,444468.0,543557.0,,,,,,,,,451584,,,,,,,543294,452657,467008,407793,474463,518748,493157.0,608349,543548,608718.0,453172.0,,,,,,,,,605200,,,,,,,503449,502624,501697,519076,606930,448614,491703,Milwaukee Brewers
2017/04/07/kcamlb-houmlb-1,Kansas City Royals,543169,501985,475243.0,465657.0,516969.0,,,,,,,,501992,,,,,,,621381,453178,518633,432934,434628,450306,493247.0,571704,450203,448609.0,594311.0,502748.0,,,,,,,,605397,,,,,,,621121,606965,572971,502381,593140,501789,571666,Houston Astros
2017/04/07/minmlb-chamlb-1,Minnesota Twins,444520,595234,519151.0,502327.0,461833.0,608648.0,445213.0,,,,,,573124,,,,,,,450282,606167,502043,543859,429722,279571,543507.0,500779,573589,474029.0,592454.0,,,,,,,,,456068,,,,,,,592229,502085,448306,543359,461872,502706,518858,Chicago White Sox
2017/04/07/cinmlb-slnmlb-1,Cincinnati Reds,456701,543101,593974.0,621072.0,606959.0,607237.0,547179.0,628452.0,,,,,592120,,,,,,,605232,596112,502028,642003,444857,519322,571561.0,493200,593372,462515.0,502190.0,543779.0,,,,,,,,435043,,,,,,,425794,446399,458681,592815,621199,608379,455009,St. Louis Cardinals
2017/04/07/clemlb-arimlb-1,Cleveland Indians,545333,594736,502083.0,542888.0,,,,,,,,,543766,,,,,,,517593,592102,446372,457429,471911,458708,519096.0,425844,592662,452666.0,517414.0,,,,,,,,,571578,,,,,,,407845,592836,543331,407822,605151,605177,571946,Arizona Diamondbacks
2017/04/07/seamlb-anamlb-1,Seattle Mariners,519267,572021,664641.0,451596.0,502272.0,592614.0,,,,,,,572020,,,,,,,592767,543883,656186,547874,433587,621242,519240.0,445060,572140,502032.0,457732.0,453284.0,,,,,,,,533167,,,,,,,607374,433589,500724,573046,592135,445926,501625,Los Angeles Angels
2017/04/08/bosmlb-detmlb-1,Boston Red Sox,598264,519144,,,,,,,,,,,519242,,,,,,,523260,518886,453214,582494,593958,664701,598287.0,571510,408061,594986.0,458677.0,,,,,,,,,543935,,,,,,,596057,605242,541652,434378,434671,519455,572888,Detroit Tigers
2017/04/08/minmlb-chamlb-1,Minnesota Twins,444520,573124,461833.0,608648.0,606167.0,595234.0,543859.0,,,,,,450282,,,,,,,445213,502043,429722,279571,543507,519151,502327.0,500779,502706,474029.0,543359.0,,,,,,,,,573589,,,,,,,592454,592229,502085,448306,518858,461872,456068,Chicago White Sox
2017/04/08/cinmlb-slnmlb-1,Cincinnati Reds,456701,543101,606959.0,276520.0,596112.0,593974.0,519322.0,,,,,,502028,,,,,,,642003,628452,444857,571561,621072,607237,547179.0,493200,593372,455009.0,592815.0,,,,,,,,,543779,,,,,,,502190,435043,446399,458681,462515,608379,621199,St. Louis Cardinals
2017/04/08/nyamlb-balmlb-1,New York Yankees,592741,622663,476454.0,656547.0,,,,,,,,,547973,,,,,,,461325,571951,282332,501381,547888,476589,518927.0,643354,592869,502154.0,,,,,,,,,,573064,,,,,,,605164,503285,434622,592332,543118,571710,542960,Baltimore Orioles
2017/04/08/tormlb-tbamlb-1,Toronto Blue Jays,462136,457918,276351.0,596271.0,,,,,,,,,573186,,,,,,,434538,501925,572193,571901,544759,592717,607352.0,543606,542882,488984.0,517008.0,458584.0,541640.0,,,,,,,543135,,,,,,,474521,502171,471822,643493,605483,543144,502042,Tampa Bay Rays
2017/04/08/atlmlb-pitmlb-1,Atlanta Braves,448802,475054,285079.0,571871.0,542432.0,,,,,,,,592314,,,,,,,447714,605338,518567,112526,527054,527055,462382.0,592866,543037,543339.0,453265.0,,,,,,,,,455374,,,,,,,592791,453281,607192,467100,641771,504379,553878,Pittsburgh Pirates
2017/04/08/wasmlb-phimlb-1,Washington Nationals,461829,595014,424144.0,518875.0,,,,,,,,,606983,,,,,,,543699,453286,519301,544931,425386,544836,430599.0,605388,595191,450212.0,591693.0,,,,,,,,,593576,,,,,,,453329,592826,476451,491646,570257,276542,605400,Philadelphia Phillies
2017/04/08/chnmlb-milmlb-1,Chicago Cubs,605218,453562,467008.0,518748.0,,,,,,,,,451584,,,,,,,493157,444468,474463,452657,407793,543557,543294.0,606930,448614,453172.0,608349.0,,,,,,,,,519076,,,,,,,605200,491703,503449,502624,543548,501697,608718,Milwaukee Brewers
2017/04/08/kcamlb-houmlb-1,Kansas City Royals,450306,543169,518633.0,493247.0,501985.0,,,,,,,,475243,,,,,,,465657,501992,516969,621381,453178,432934,434628.0,448609,571704,572971.0,502381.0,502748.0,,,,,,,,450203,,,,,,,605397,621121,606965,594311,571666,593140,501789,Houston Astros
2017/04/08/miamlb-nynmlb-1,Miami Marlins,573185,543408,607457.0,475479.0,570632.0,,,,,,,,612672,,,,,,,573109,430661,621295,547749,450172,543045,446899.0,592789,592665,460283.0,606160.0,477569.0,,,,,,,,518774,,,,,,,554430,594798,572831,607229,519294,570663,623149,New York Mets
2017/04/08/oakmlb-texmlb-1,Oakland Athletics,521230,534910,608665.0,433586.0,425492.0,,,,,,,,543056,,,,,,,623430,592811,448281,593423,593417,640455,605194.0,473879,527048,501817.0,502026.0,516714.0,623434.0,,,,,,,600917,,,,,,,518617,456713,430935,456167,592346,592222,506433,Texas Rangers
2017/04/08/clemlb-arimlb-1,Cleveland Indians,594736,517593,542888.0,,,,,,,,,,592102,,,,,,,446372,471911,458708,519096,545333,543766,457429.0,592662,571578,543331.0,407822.0,,,,,,,,,407845,,,,,,,592836,571946,517414,452666,605151,605177,425844,Arizona Diamondbacks
2017/04/08/lanmlb-colmlb-1,Los Angeles Dodgers,445276,554340,477132.0,594795.0,501822.0,,,,,,,,547943,,,,,,,435221,622072,628317,501593,451661,489265,548389.0,608566,542881,445197.0,493603.0,459429.0,518813.0,,,,,,,608032,,,,,,,622608,623184,518452,607536,543022,543475,592351,Colorado Rockies
2017/04/08/sfnmlb-sdnmlb-1,San Francisco Giants,502188,456501,519293.0,430912.0,518516.0,,,,,,,,519043,,,,,,,519166,571882,595345,453343,518715,621389,502004.0,453385,450308,468504.0,543272.0,488748.0,,,,,,,,606131,,,,,,,489334,572362,543506,600526,607067,543054,622766,San Diego Padres
2017/04/08/seamlb-anamlb-1,Seattle Mariners,572020,592767,664641.0,433587.0,519267.0,572021.0,,,,,,,543883,,,,,,,656186,547874,592614,621242,502272,519240,451596.0,572140,457732,445060.0,500724.0,592135.0,,,,,,,,445926,,,,,,,533167,607374,433589,573046,502032,453284,501625,Los Angeles Angels
2017/04/09/bosmlb-detmlb-1,Boston Red Sox,664701,519242,,,,,,,,,,,523260,,,,,,,593958,453214,582494,519144,598264,518886,,571510,519455,594986.0,434671.0,,,,,,,,,408061,,,,,,,572888,458677,605242,434378,596057,543935,541652,Detroit Tigers
